ONTOLOGY,ID,Description,Count,GeneList,Bg,BgList,pvalue,p.adjust,qvalue,geneID
BP,GO:0090130,tissue migration,60,1096,244,11502,3.04E-12,1.76E-09,1.38E-09,CORO1C/P2RX4/CALR/EDN1/ROCK1/PTPRM/CCBE1/ITGA2/FGF10/RHOA/WNT5A/ACTA2/CTSH/RAB11A/FGF7/SPARC/ARF6/CDH13/ADAM9/ROCK2/RTN4/LOXL2/NRP2/TMSB4X/ZEB2/FAP/HMGB1/ETS1/MACF1/TGFB1/APOE/RRAS/GADD45A/PLPP3/PTGS2/VEGFA/CSNK2B/PFN1/ITGB3/HSPB1/MYH9/NR4A1/ITGB1/AKT1/STARD13/EMC10/ADIPOR1/ID1/KANK2/NFE2L2/MAP2K3/PTPN11/JUP/ATP5F1A/DOCK1/FSTL1/RAC1/ATP5F1B/PRKD1/RIN2
BP,GO:0090132,epithelium migration,59,1096,239,11502,3.89E-12,2.07E-09,1.62E-09,CORO1C/P2RX4/CALR/EDN1/ROCK1/PTPRM/CCBE1/ITGA2/FGF10/RHOA/WNT5A/CTSH/RAB11A/FGF7/SPARC/ARF6/CDH13/ADAM9/ROCK2/RTN4/LOXL2/NRP2/TMSB4X/ZEB2/FAP/HMGB1/ETS1/MACF1/TGFB1/APOE/RRAS/GADD45A/PLPP3/PTGS2/VEGFA/CSNK2B/PFN1/ITGB3/HSPB1/MYH9/NR4A1/ITGB1/AKT1/STARD13/EMC10/ADIPOR1/ID1/KANK2/NFE2L2/MAP2K3/PTPN11/JUP/ATP5F1A/DOCK1/FSTL1/RAC1/ATP5F1B/PRKD1/RIN2
BP,GO:0001667,ameboidal-type cell migration,72,1096,332,11502,1.37E-11,6.74E-09,5.27E-09,CORO1C/P2RX4/CALR/PLEC/EDN1/ROCK1/PTPRM/CCBE1/ITGA2/FGF10/GDNF/RHOA/WNT5A/ARID5B/CTSH/RAB11A/FGF7/SPARC/ARF6/LAMA5/SDC4/CDH13/ADAM9/ROCK2/RTN4/LOXL2/NRP2/EDNRB/TMSB4X/AMOTL2/ZEB2/FAP/HMGB1/ETS1/PAK1/MACF1/TGFB1/APOE/RRAS/GADD45A/PLPP3/PTGS2/VEGFA/CSNK2B/PFN1/ITGB3/HSPB1/MYH9/NR4A1/ITGB1/TWIST1/AKT1/STARD13/EMC10/ADIPOR1/ID1/PIP5K1A/KANK2/NFE2L2/MAP2K3/PTPN11/JUP/ATP5F1A/ZFAND5/DOCK1/CAP1/FSTL1/RAC1/ATP5F1B/PRKD1/CDH2/RIN2
BP,GO:0061061,muscle structure development,91,1096,473,11502,3.13E-11,1.43E-08,1.11E-08,TBX3/EEF2/CALR/PLEC/DSP/EDN1/GATA6/SMAD7/LOX/FGF10/IL4R/RHOA/WNT5A/ADAM12/DKK1/ARID5B/TPM1/ITGA11/NIBAN2/PDGFRB/EGR1/PDLIM4/ACTN1/ZFP36L1/LAMA5/BMP2/EPAS1/SERP1/CFLAR/KLF5/EDNRB/FHL2/BIN1/PAK1/TAGLN/ACTN4/TGFB1/TGFBR3/RGS2/CSRP1/BTG2/ATF3/CD164/VEGFA/FLOT1/ACTG1/PRKAR1A/KRT19/CAPN2/MYH9/LARGE1/NR4A1/KRT8/MYL6/TEAD4/CD9/FLNC/MTPN/ITGB1/SRI/NR1D2/TWIST1/MSX1/WDR1/RBPJ/UCHL1/PDGFRA/SORBS2/PDLIM5/NRG1/ADM/CD81/YBX1/SPAG9/AKT1/FHL3/RB1/FLII/PDLIM7/LMOD1/YBX3/NPNT/COMP/ATP2A2/NFATC1/BASP1/FKBP1A/SOX6/CDH2/MYOF/HOMER1
BP,GO:0097190,apoptotic signaling pathway,87,1096,445,11502,3.63E-11,1.54E-08,1.21E-08,ERP29/P2RX4/ICAM1/SNAI2/TNFRSF12A/CREB3/DAPK1/HINT1/FGF10/GDNF/PRKCD/SELENOK/INHBA/BLOC1S2/UNC5B/CTSH/SELENOS/RPS27L/DAPK2/BCL2L1/LGALS3/CRIP1/TRAF2/SERINC3/CLU/RPS7/SST/CFLAR/TPT1/SOD1/RPS3/CTSC/RPL11/TGFB1/BAX/PPP1R15A/JUN/PTGS2/ATF3/TNFAIP3/CDKN1A/RACK1/SERPINE1/GABARAP/RPL26/PEA15/NGF/MCL1/HSPB1/PTTG1IP/ATF4/TIMP3/PAWR/KRT8/LRRK2/BID/HGF/MSX1/SH3RF1/CD44/CREB3L1/BAD/PPP1CA/GSTP1/HRAS/GCLM/PDIA3/TMEM109/NDUFS3/PHLDA3/AKT1/RB1/NDUFA13/SKIL/DAP/NFE2L2/MAP3K5/MIF/SGMS1/YBX3/CTTN/TMBIM1/CASP9/GNAI3/ATP5IF1/HIPK1/EIF5A
BP,GO:2001233,regulation of apoptotic signaling pathway,62,1096,277,11502,9.55E-11,3.81E-08,2.98E-08,ERP29/ICAM1/SNAI2/TNFRSF12A/CREB3/FGF10/GDNF/PRKCD/INHBA/UNC5B/CTSH/SELENOS/DAPK2/BCL2L1/LGALS3/TRAF2/SERINC3/CLU/RPS7/CFLAR/TPT1/SOD1/RPS3/CTSC/RPL11/BAX/PTGS2/ATF3/TNFAIP3/RACK1/SERPINE1/RPL26/PEA15/MCL1/HSPB1/PTTG1IP/TIMP3/LRRK2/BID/HGF/MSX1/SH3RF1/CD44/CREB3L1/BAD/PPP1CA/GSTP1/GCLM/PDIA3/NDUFS3/AKT1/RB1/NDUFA13/SKIL/NFE2L2/MIF/SGMS1/YBX3/CTTN/TMBIM1/GNAI3/EIF5A
BP,GO:0034109,homotypic cell-cell adhesion,27,1096,72,11502,1.39E-10,5.20E-08,4.07E-08,DSP/TLN1/TJP2/ACTB/IL6ST/PRKCD/PRKG1/MYL9/SERPINE2/RDX/PDPN/JAK1/PLPP3/CSRP1/CLIC1/ACTG1/ITGB3/HSPB1/MYH9/CD9/IL6/PDGFRA/SLC7A11/FLNA/VCL/JUP/COMP
BP,GO:0031589,cell-substrate adhesion,63,1096,288,11502,1.85E-10,6.57E-08,5.14E-08,CORO1C/CALR/ROCK1/ADAMTS12/ITGA2/RHOA/IQGAP1/PLAU/ITGA11/ACTN1/FBLN5/LAMA5/SDC4/CDH13/ADAM9/ROCK2/RAB1A/SNED1/LIMS2/MACF1/PDPN/VAMP3/PRKCZ/ACTN4/AXL/RRAS/MYADM/CCN1/VEGFA/SERPINE1/ACTG1/ITGB3/COL1A1/S100A10/CRK/PARVB/ITGA5/CD63/LRP1/VWF/ZYX/ITGB1/RSU1/ITGA8/CDK6/CD44/FLNA/NID2/EMILIN1/ID1/PIP5K1A/VCL/PTPN11/JUP/CARMIL1/CTTN/DOCK1/RAC1/ARPC2/NPNT/CSF1/RIN2/ITGA1
BP,GO:0042692,muscle cell differentiation,61,1096,275,11502,2.00E-10,6.72E-08,5.26E-08,TBX3/CALR/PLEC/EDN1/GATA6/LOX/FGF10/IL4R/ADAM12/DKK1/TPM1/NIBAN2/PDGFRB/ACTN1/BMP2/CFLAR/KLF5/EDNRB/FHL2/BIN1/PAK1/ACTN4/TGFB1/RGS2/CSRP1/VEGFA/FLOT1/ACTG1/PRKAR1A/KRT19/CAPN2/MYH9/KRT8/CD9/FLNC/MTPN/ITGB1/MSX1/WDR1/RBPJ/UCHL1/PDGFRA/SORBS2/PDLIM5/NRG1/ADM/CD81/YBX1/SPAG9/AKT1/RB1/FLII/LMOD1/NPNT/COMP/ATP2A2/NFATC1/SOX6/CDH2/MYOF/HOMER1
BP,GO:0051384,response to glucocorticoid,33,1096,104,11502,2.27E-10,6.84E-08,5.35E-08,ICAM1/EDN1/PAM/RHOA/GOT1/PAPPA/DUSP1/SLIT3/SPARC/ZFP36L1/CALM1/ADAM9/ZFP36L2/CFLAR/HMGB1/ERRFI1/CALM3/PTGS2/CDKN1A/ATP2B1/IL6/IGFBP7/ADM/BAD/FOSL1/GSTP1/CCND1/NR3C1/PCNA/FOXO1/ALDH3A1/CASP9/IGFBP2
BP,GO:0010634,positive regulation of epithelial cell migration,37,1096,126,11502,2.28E-10,6.84E-08,5.35E-08,P2RX4/CALR/EDN1/CCBE1/ITGA2/FGF10/WNT5A/CTSH/RAB11A/FGF7/SPARC/ARF6/ADAM9/ROCK2/RTN4/NRP2/TMSB4X/HMGB1/ETS1/TGFB1/RRAS/PLPP3/PTGS2/VEGFA/PFN1/ITGB3/HSPB1/AKT1/EMC10/NFE2L2/MAP2K3/ATP5F1A/DOCK1/RAC1/ATP5F1B/PRKD1/RIN2
BP,GO:0031960,response to corticosteroid,35,1096,115,11502,2.36E-10,6.84E-08,5.35E-08,ICAM1/EDN1/PAM/RHOA/GOT1/PAPPA/DUSP1/SLIT3/SPARC/ZFP36L1/CALM1/ADAM9/ZFP36L2/CFLAR/HMGB1/ERRFI1/CALM3/PTGS2/CDKN1A/COL1A1/RPL27/ATP2B1/IL6/IGFBP7/ADM/BAD/FOSL1/GSTP1/CCND1/NR3C1/PCNA/FOXO1/ALDH3A1/CASP9/IGFBP2
BP,GO:0032970,regulation of actin filament-based process,69,1096,332,11502,2.73E-10,7.57E-08,5.92E-08,ARPC3/CNN2/ICAM1/DSP/EDN1/ROCK1/PDGFA/PAM/ARF1/RHOA/PRKCD/BRK1/IQGAP1/TPM1/ARPC5L/PDGFRB/ARF6/SDC4/DSTN/ROCK2/PLEKHH2/CAPG/CTNNA2/TMSB4X/BIN1/ACTR3/RND3/PAK1/RDX/PDPN/MYADM/CDC42EP5/ARPC5/PFN1/BAIAP2/ACTG1/CAPZA1/RHOC/ATP1A1/S100A10/SSH2/CRK/MYO1C/MYH9/LRP1/MTPN/SRI/WDR1/PDGFRA/CAMK2D/HRAS/FLNA/SYNPO2/ID1/FLII/ARHGDIA/ARPC4/JUP/LMOD1/COTL1/CARMIL1/CTTN/RAC1/SNX9/ARPC2/ARHGEF10L/ATP2A2/CAPZB/CYFIP1
BP,GO:0007596,blood coagulation,44,1096,169,11502,3.54E-10,9.42E-08,7.37E-08,EDN1/SERPINB2/GNAQ/TLN1/PDGFA/ACTB/IL6ST/ITGA2/PRKCD/PRKG1/PLAU/ENTPD1/ANXA2/MYL9/THBD/SERPINE2/TFPI/FAP/PDPN/AXL/APOE/PLA2G4A/CSRP1/CLIC1/SERPINE1/ACTG1/ITGB3/F3/HSPB1/SCUBE1/MYH9/CD9/VWF/IL6/PDGFRA/SLC7A11/ANXA5/FLNA/VCL/NFE2L2/DGKH/F10/COMP/DTNBP1
BP,GO:0050817,coagulation,44,1096,171,11502,5.33E-10,1.36E-07,1.06E-07,EDN1/SERPINB2/GNAQ/TLN1/PDGFA/ACTB/IL6ST/ITGA2/PRKCD/PRKG1/PLAU/ENTPD1/ANXA2/MYL9/THBD/SERPINE2/TFPI/FAP/PDPN/AXL/APOE/PLA2G4A/CSRP1/CLIC1/SERPINE1/ACTG1/ITGB3/F3/HSPB1/SCUBE1/MYH9/CD9/VWF/IL6/PDGFRA/SLC7A11/ANXA5/FLNA/VCL/NFE2L2/DGKH/F10/COMP/DTNBP1
BP,GO:0010632,regulation of epithelial cell migration,47,1096,190,11502,5.75E-10,1.41E-07,1.10E-07,CORO1C/P2RX4/CALR/EDN1/PTPRM/CCBE1/ITGA2/FGF10/RHOA/WNT5A/CTSH/RAB11A/FGF7/SPARC/ARF6/ADAM9/ROCK2/RTN4/NRP2/TMSB4X/HMGB1/ETS1/MACF1/TGFB1/APOE/RRAS/GADD45A/PLPP3/PTGS2/VEGFA/CSNK2B/PFN1/ITGB3/HSPB1/AKT1/STARD13/EMC10/ADIPOR1/NFE2L2/MAP2K3/JUP/ATP5F1A/DOCK1/RAC1/ATP5F1B/PRKD1/RIN2
BP,GO:0007599,hemostasis,44,1096,172,11502,6.52E-10,1.54E-07,1.20E-07,EDN1/SERPINB2/GNAQ/TLN1/PDGFA/ACTB/IL6ST/ITGA2/PRKCD/PRKG1/PLAU/ENTPD1/ANXA2/MYL9/THBD/SERPINE2/TFPI/FAP/PDPN/AXL/APOE/PLA2G4A/CSRP1/CLIC1/SERPINE1/ACTG1/ITGB3/F3/HSPB1/SCUBE1/MYH9/CD9/VWF/IL6/PDGFRA/SLC7A11/ANXA5/FLNA/VCL/NFE2L2/DGKH/F10/COMP/DTNBP1
BP,GO:0010035,response to inorganic substance,78,1096,408,11502,1.17E-09,2.67E-07,2.08E-07,P2RX4/EEF2/CALR/JUNB/ICAM1/PLEC/EDN1/NR4A3/PAM/PRKCD/WNT5A/IQGAP1/KCNMA1/ANXA11/GOT1/PTGES/ADCY7/DUSP1/SPARC/PDGFRB/CD14/CRIP1/CALM1/FBLN5/TRAF2/ADSS2/ADAM9/PRNP/CALM2/DPEP1/LOXL2/CFLAR/SOD1/ETS1/RPS3/CLIC4/AXL/CALM3/JUN/PRDX1/PTGS2/TNFAIP3/ITPR3/RACK1/COL1A1/CAPN2/SYT6/CRK/COL18A1/TSPO/PAWR/KRT8/STAT6/LRRK2/CD9/HGF/IL6/CAMK2D/BAD/FOSL1/PPP1CA/CCND1/SLC11A2/AKT1/PKD2/PCNA/NPC1/NFE2L2/MAP3K5/PTPN11/NDRG1/FOXO1/ATP5F1D/CASP9/HSPA5/UBE3A/IGFBP2/HOMER1
BP,GO:0003012,muscle system process,67,1096,329,11502,1.23E-09,2.70E-07,2.11E-07,TBX3/P2RX4/TPM4/EEF2/PRKACA/DSP/EDN1/GATA6/ROCK1/SMAD7/NR4A3/TPM2/IL6ST/ITGA2/GDNF/ALDOA/RHOA/ACTA2/PRKG1/KCNMA1/TPM1/MYL9/ARG2/CALM1/HSBP1/ROCK2/CALM2/DES/CFLAR/EDNRB/SOD1/BIN1/PAK1/HTR2A/ERRFI1/CALM3/ATP1B1/PTGS2/RGS2/KCND3/ATP1A1/ATP2B1/NR4A1/MYL6/CALD1/MTPN/CHRM2/SRI/APBB2/IL15/SORBS2/CAMK2D/PDLIM5/FLNA/MAP2K3/JUP/LMOD1/FOXO1/INPP5F/CERT1/CTTN/NPNT/COMP/ATP2A2/MYOF/SULF1/HOMER1
BP,GO:1902905,positive regulation of supramolecular fiber organization,43,1096,170,11502,1.49E-09,3.17E-07,2.48E-07,ARPC3/ICAM1/EDN1/ARF1/RHOA/BRK1/TPM1/ARPC5L/ARF6/SDC4/CLU/DSTN/ROCK2/CTNNA2/BIN1/ACTR3/RPS3/PAK1/APOE/CDC42EP5/ARPC5/PFN1/BAIAP2/RHOC/S100A10/MYO1C/WDR1/FLNA/MAPRE1/SYNPO2/ID1/RB1/ARPC4/LMOD1/CARMIL1/CTTN/CLIP1/RAC1/SNX9/ARPC2/ARHGEF10L/SLAIN2/CYFIP1
