Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
ERC1,,GAPDH,ERLEC1,CHMP4B,H4C15,,F1PQ40
ERGIC1,,GAPDHS,Erlin2,CHMP5,NCL,,J9P9Z7
ERO1A,,GART,ERP44,CHMP7,CP,,J9P8E9
ERP29,,GAS2L2,Esrp1,CHN1,RPS11,,J9P6R1
ERP44,,GAS8,ESYT1,CHORDC1,PPM1B,,E2RH29
ESD,,GBAS,Etf1,CHUK,PFDN2,,F1PTP2
ESRP1,,GBE1,Evi5,CIAO1,RPL17-C18orf32,,F1PZA0
ETF1,,GC,EVPL,CIAO2B,CHORDC1,,J9P8T4
ETFA,,GCDH,EXOC1,CIAPIN1,GMDS,,E2RHR4
EWSR1,,GDI1,Exoc3,CIRBP,SSB,,F1P7J0
EXOC1,,GDI2,EXOC4,CISD1,PFN1,,E2R9V0
EXOC3,,GFAP,EXOC6,CISD2,NUDT3,,Q0X0E5
EXOC4,,GFPT1,EXOC6B,CIZ1,EIF4H,,F1PHV7
EXOC6,,GGT1,Exoc7,CKAP5,ENSECAG00000024902,,E2R9V5
EXOC6B,,GIPC1,FAF2,CKB,COPS7A,,A0A0A0MPD2
EXOC7,,GLG1,Faim,CLASP1,UAP1L1,,A0A0A0MPD0
EZR,,GLIPR2,FAM107B,CLASP2,FGGY,,L7N0I7
F13A1,,GLO1,FAM120A,CLDN1,RAP1GDS1,,E2RCL0
F2,,GLOD4,FAM126A,CLEC3B,NAP1L4,,E2QTQ9
FABP3,,GLUD1,Fam129b,CLIC1,COPS6,,F6XGU5
FABP5,,GLUL,Fam175b,CLIC2,S100A11,,F1PC59
FAM107B,,GLYCTK,FAM3C,CLIC3,CPPED1,,E2RLS3
FAM120A,,GMPPA,FAM49B,CLIC4,GPI,,E2R7F1
FAM3C,,GMPPB,Fam65a,CLIC5,ALDH1A1,,E2RJY2
FAM91A1,,GNA11,FAM65B,CLIC6,SH3BGRL,,F1PLN2
FAM98A,,GNA12,FAM84A,CLINT1,FDPS,,E2R0G3
FARP1,,GNA13,FAM84B,CLIP1.1,RPS21,,F1PFG6
FARSA,,GNA14,Fam91a1,CLNS1A,PAPSS1,,E2R818
FARSB,,GNAI1,FAM98A,CLPP,SCGB1A1,,F1PUB5
FASN,,GNAI2,FARP1,CLTA,RPL14,,F1PN25
FBXO3,,gnai3,FARSA,CLTB,DERA,,P67780
FBXW9,,GNAL,FARSB,CLTC,ADSS2,,Q076A8
FERMT1,,GNAQ,FASN,CLU,ENSECAG00000019585,,F1PB10
FERMT2,,GNAS,FBXL18,CLUH,BIN1,,E2RGM0
FGA,,GNAT1,FBXL20,CMBL,RPL15,,E2R6W9
FGB,,GNAT2,FBXO3,CMPK1,CZIB,,F1P6H7
FGG,,GNAT3,FER,CNBP,PFDN4,,E2QW49
FH,,GNAZ,FERMT1,CNDP1,LGALS3,,E2R9Y9
FHL1,,GNB1,FERMT2,CNDP2,VNN1,,E2RFR5
FKBP2,,GNB2,Fgg,CNN1,ENSECAG00000040667,,E2QYC2
FKBP3,,GNB4,FGR,CNN2,LZIC,,D0VWQ3
FKBP4,,GNE,Fhl1,CNN3,PAFAH1B2,,D0VWQ5
FLII,,GNG12,FIBP,CNOT1,RANBP1,,F1Q0Q9
FLNA,,GOLGB1,FKBP11,CNOT11,RPL10A,,F1PZJ7
FLNB,,GOSR2,Fkbp2,CNOT7,EIF3B,,F1Q3I5
FLNC,,GOT2,Fkbp3,CNOT9,TCEA1,,F1PX67
FLOT1,,GPD1L,FKBP4,CNP,ME1,,E2RB96
FMR1,,GPI,FLNA,CNPY2,ARL3,,F6XVD7
FN1,,GPM6A,FLNB,CNRIP1,ATP6V1E1,,F1PMC5
FN3KRP,,GPT2,FLOT1,CNTRL,EIF3H,,J9NRN0
FNTA,,GRHPR,Flot2,COASY,ISOC1,,J9JHN1
FOLR1,,GRID1,FMNL2,COBLL1,CFAP298-TCP10L,,J9NXG7
FRK,,GSN,Fmr1,COG1,GNPDA1,,E2RSI6
FRY,,GSR,FN1,COG2,IRGQ,,E2QWF5
FRYL,,GSS,FNDC3A,COG3,SARS1,,F1PTC0
FSD1L,,GSTK1,Fnta,COG4,EIF3F,,E2RB81
FTH1,,GSTP1,FOLH1B,COG5,ILF3,,F1PZ48
FUBP1,,GTF2I,Frk,COG6,ACTR1B,,P60952
FUS,,GUSB,FRY,COG7,RNASEH1,,F1PCG4
FXR1,,H3F3A,FRYL,COG8,LCP1,,J9NTN4
G6PD,,H6PD,FSD1L,COL12A1,RPL27,,J9P098
GAK,,HACD3,FTH1,COL18A1,TPT1,,F1PKW7
GALK1,,HADH,FUK,COL1A1,S100A13,,F1PAG5
GALM,,HADHA,Fxr1,COL1A2,CRK,,J9P093
GALNT12,,HADHB,G6pdx,COL6A1,GYG1,,F1PAG6
GALNT7,,HAGH,Gak,COL6A3,EIF3I,,E2QUV3
GANAB,,HARS,Galnt1,COLGALT1,KHSRP,,F1PY24
GAPDH,,HBE1,GALNT12,COMMD4,ENSECAG00000034606,,E2R4J2
GAPDHS,,HBQ1,GALNT2,COMMD7,NAXE,,E2RT63
GART,,HDAC1,GALNT3,COMMD9,UBE2K,,E2RT62
GBE1,,HDAC2,GALNT4,COPA,HMGB1,,E2RT60
GBF1,,HDDC3,GALNT7,COPB1,RPS12,,E2RT65
GC,,HDGF,GAPDH,COPB2,TGM1,,F1PKV5
GCC2,,HEBP1,Gars,COPE,SYNGR2,,E2R4Y6
GCLM,,HELZ2,GART,COPG1,ARRB1,,E2RIF3
GDA,,HEXA,Gas8,COPG2,GSTA4,,E2RBA8
GDI1,,HEXB,GBE1,COPS2,RSU1,,E2RR60
GDI2,,HIBCH,GBF1,COPS3,MTPN,,E2RJB9
GEMIN5,,HK1,GCC2,COPS5,CARS1,,J9P3L7
GFAP,,HK2,Gclm,COPS6,MHCX1,,F1PB85
GFOD2,,HKDC1,GCN1L1,COPS7A,DDX3X,,F6XIP5
GFPT1,,HM13,Gcnt3,COPS7B,AP2S1,,F1PQN3
GGT1,,HMGB1,Gda,COPS8,PGGT1B,,J9P326
GIPC1,,HMGB2,GDI1,COPZ1,S100A16,,E2QS13
GIT1,,HMGCL,GEMIN5,COQ9,NAE1,,J9JH91
GLIPR2,,HMGN1,get4-a,CORO1A,DHRS11,,E2R0H0
GLO1,,HMOX2,Gfod2,CORO1C,PAK2,,F1PVP9
GLOD4,,HNRNPA0,GIPC1,CORO2A,OSGEP,,F1PJ74
GLUD1,,HNRNPA1,GIT1,CORO6,DCUN1D1,,F1PSN8
GLUL,,HNRNPA2B1,Gja1,COTL1,CDV3,,J9NUV0
GMDS,,HNRNPA3,GLG1,CPB2,TPM4 ,,E2R1T2
GMPPA,,HNRNPAB,GLIPR2,CPD,NAGK,,E2RLL6
GMPPB,,HNRNPC,Glod4,CPN2,LGALSL,,E2RNQ2
GMPR2,,HNRNPD,GLT8D1,CPNE3,PYCR3,,E2R0A6
GNA11,,HNRNPF,GLUD1,CPQ,ARPC1B,,E2RS47
GNA13,,HNRNPH1,Glul,CPSF1,MAPK1,,H9GW87
GNAI1,,HNRNPH2,Gmds,CPSF2,RPS15,,J9PAB2
GNAI2,,HNRNPH3,GMPPA,CPSF3,MAPK3,,F1PHX8
GNAI3,,HNRNPK,GMPPB,CPSF7,SEC31A,,E2QXN8
GNAQ,,HNRNPL,GMPR2,CPT1A,GPRC5C,,F1Q0J0
GNAS,,HNRNPM,GNA13,CPT2,ADPRS,,F1PPL9
GNB1,,HNRNPR,GNAI1,CPVL,SMPDL3B,,F1Q0J3
GNB2,,HNRNPU,GNAI2,CRABP1,OSBPL2,,Q6WIT9
GNE,,HNRNPUL1,Gnai3,CRBN,FUBP1,,E2QUL2
GNG12,,HNRNPUL2,Gnao1,CRIP1,UFC1,,E2RL34
GNPDA1,,HOOK3,GNAQ,CRIP2,ENSECAG00000011095,,E2RT18
GNPDA2,,HP1BP3,GNAS,CRK,RPS6KA3,,F1PEZ4
GNPNAT1,,HPX,Gnb1,CROT,PPP2R2A,,E2REK1
GOLGA3,,HRAS,Gnb2,CRPPA,NPEPL1,,E2R2C3
GOLGA4,,HSD11B1,Gnb2l1,CRYAB,PSMD4,,Q863Z4
GOLGB1,,HSD17B10,GNB4,CRYL1,UROD,,E2QYL0
GOLPH3,,HSD17B12,GNE,CRYM,ARL1,,F6XKI0
GOLPH3L,,HSD17B4,GNG12,CRYZL1,DBI,,F1PME6
GORASP1,,HSD17B8,GNPDA1,CS,PRKAR2A,,F1PVW0
GPCPD1,,HSDL2,GNPDA2,CSAD,NAPRT,,E2RRA3
GPD1L,,HSP90AA1,GNPNAT1,CSDE1,SPARCL1,,E2RNG2
GPHN,,HSP90AB1,GOLGA3,CSK,PGM3,,J9P2I8
GPI,,HSP90B1,GOLGA4,CSNK1A1,VNN1,,F1Q264
GPM6B,,HSPA2,GOLGB1,CSNK1E,FBLN1,,E2R0S7
GPRC5C,,HSPA4,GOLPH3,CSNK2A1,NQO2,,F1PAZ6
GPS1,,HSPA4L,GOLPH3L,CSNK2A2,GMPS,,F1PV92
GRHPR,,HSPA5,Gorasp1,CSNK2B,PBLD,,F1PGY1
GRIPAP1,,HSPA8,Gpc3,CSRP1,NIT1,,J9P6V2
GSK3B,,HSPA9,GPC4,CSTB,SPRED3,,F6V2R0
GSN,,HSPB1,GPCPD1,CTBS,FGG,,E2RT72
GSPT1,,HSPD1,GPD1L,CTDP1,RHOA,,F1PXG4
GSR,,HSPG2,GPD2,CTH,GBE1,,F2Z4Q1
GSS,,HSPH1,Gphn,CTNNB1,ENSECAG00000030135,,E2RIA8
GSTM4,,HYOU1,Gpi,CTNNBL1,EIF2S1,,F2Z4Q7
GSTP1,,IARS,Gpm6a,CTNND1,PRPSAP1,,F2Z4Q6
GTF2I,,idh1,Gpm6b,CTPS1,AARS1,,F2Z4Q5
GTPBP1,,IDH2,GPRC5B,CTPS2,IAH1,,J9P4F3
GUK1,,IDH3A,Gps1,CTR9,C21H5orf51,,E2R5T9
GYS1,,IFT140,Gpx4,CTSA,PON1,,E2R6K5
H6PD,,IFT172,Grid2,CTSB,VPS29,,F6XIT9
HADH,,IFT22,GRIPAP1,CTSC,DYNC1I2,,E2RRD6
HAGH,,IFT52,Grn,CTSH,HEBP2,,E2RK67
HAT1,,IFT57,Gsk3b,CTSK,TUBB6,,F1PZY2
HBB,,IFT74,GSN,CTSZ,GLO1,,F1PX27
HDAC1,,IFT80,GSPT1,CTTN,SAT2,,F1PIZ2
HDDC3,,IFT81,Gsr,CTTNBP2NL,SERPIND1,,F6XD36
HDGF,,IFT88,GSS,CTU2,PITPNA,,F1P8D3
HDHD2,,ILF3,Gsta5,CUL1,NEDD8,,F1PVC1
HDLBP,,ILK,GSTM4,CUL2,RAB5B,,E2RD65
HEATR5B,,ILVBL,Gtpbp1,CUL3,NDRG2,,E2R7Z6
HEBP1,,IMMT,GUCY1B3,CUL4A,HERC4,,J9NVS3
HECTD1,,IMPA1,GUK1,CUL5,CRYL1,,E2RAB2
HECTD4,,IMPDH2,GULP1,CUTA,ENSECAG00000015938,,E2RLE2
HERC4,,INO80,GVINP1,CWC27,CLTA,,E2R4B0
HEXA,,INPP5J,GYS1,CWF19L1,PCBD1,,E2RMB9
HEXB,,INPP5K,HACD3,CYFIP1,TTC17,,E2RIA1
HGS,,INSM1,Hars,CYFIP2,FETUB,,E2RJW8
HIBCH,,IQCE,Hat1,CYGB,ANXA2,,P05124
HIF1AN,,iqgap1,HDHD2,CYRIA,ACTR1A,,E2R5B9
HIP1R,,IQGAP2,HDLBP,CYRIB,ENOPH1,,F1Q406
HK1,,ITGA3,HEATR5B,CZIB,FBP1,,E2R0S6
HMGB1,,ITGA6,HECTD1,D2HGDH,TES ,,F1Q4F5
HMGB2,,ITGB1,HECTD4,DAB2,ENSECAG00000025080,,F1P975
HMGCS1,,ITGB3,HERC1,DAG1,EIF4A1,,F1Q0S5
HMGN1,,ITGB4,HERC2,DALRD3,RPS20,,E2RND5
HNRNPA0,,ITIH1,Herc4,DARS1,RAB1A,,E2R3R2
HNRNPA1,,ITIH2,Hgs,DAZAP1,RPL29,,H9GWE2
HNRNPA2B1,,ITIH4,HIF1AN,DBI,DBNL,,E2RCN3
HNRNPA3,,IVD,Hip1r,DBN1,RNASEK,,E2QW06
HNRNPAB,,JAKMIP1,Hist3h2ba,DBNL,LRG1,,E2RTD7
HNRNPD,,JCHAIN,Hkdc1,DBT,MRI1,,E2REM0
HNRNPF,,JUP,HLA-B,DCAF1,MTAP,,P86229
HNRNPH1,,KANK2,Hmgcs1,DCAF7,GUCY1B1,,E2R5N5
HNRNPH2,,KARS,Hnrnpa1,DCAF8,SPI2,,F1Q260
HNRNPH3,,KATNA1,HNRNPA2B1,DCN.1,PTER,,F1PWY9
HNRNPK,,KCNG3,HNRNPA3,DCPS,OXCT1,,F1PSE5
HNRNPL,,KCTD12,Hnrnpf,DCTD,YAP1,,E2RRX7
HNRNPM,,KCTD18,Hnrnpk,DCTN2,TBCB,,E2RR73
HNRNPR,,KCTD8,Hnrnpm,DCTN3,CYCS ,,E2QUR2
HNRNPU,,KDELC2,Hnrnpu,DCTN4,THY1,,E2R9S7
HNRNPUL1,,KHDRBS1,HOOK1,DCTN6,HNRNPAB,,E2RKR4
HNRNPUL2,,KHDRBS2,HOOK2,DCUN1D1,RPL11,,F1P6B7
HOOK1,,KHDRBS3,Hook3,DCXR,NIF3L1,,F1PCV4
HOOK2,,KHSRP,Hprt1,DDAH1,UBQLN1,,F1PF85
HOOK3,,KIAA1217,Hras,DDAH2,TSC22D4,,Q5TJE9
HPRT1,,KIF21B,HSP90AA1,DDB1,ENSECAG00000000696,,J9NT18
HPX,,KIF3A,Hsp90ab1,DDHD2,SUB1,,P62822
HSD17B10,,KIF3B,HSPA14,DDI2,ENSECAG00000039827,,J9NS50
HSP90AA1,,KIF5A,Hspa2,DDOST,ENSECAG00000038332,,J9NWJ5
HSP90AB1,,KIF5B,HSPA4,DDX1,ANKFY1,,P62825
HSP90B1,,KIF5C,HSPA4L,DDX17,RPS10,,J9NTJ7
HSPA14,,KIFAP3,HSPA5,DDX39A,CRABP1,,F1PBX0
HSPA1A,,KNTC1,HSPA8,DDX39B,DYNC1LI2,,J9NZX6
HSPA2,,KPNA3,Hspa9,DDX42,RPS26,,E2R9B6
HSPA4,,KPNA4,Hspb11,DDX46,ACTL6A,,F1P8I8
HSPA4L,,KPNB1,Hspbp1,DDX59,RSPH1,,J9P9E9
HSPA5,,kras,HSPD1,DDX6,DYNLL1,,E2QZ05
HSPA8,,KRT1,HSPG2,DECR1,ENPP3,,E2RJ06
HSPA9,,KRT13,HSPH1,DEK,CUL4B,,F1PIS7
HSPB1,,KRT14,HTATIP2,DENND10,CAB39,,E2RQ80
HSPB11,,KRT16,Htra1,DENND4C,UBXN1,,F1PGY9
HSPBP1,,krt17,HTT,DENR,APIP,,E2RER1
HSPD1,,KRT18,HUWE1,DERA,APPL1,,J9NTC6
HSPE1,,KRT19,HYDIN,DES,C2H1orf50,,F1P7V6
HSPG2,,KRT2,Hyou1,DFFA,BZW1,,F1P9Y3
HSPH1,,KRT20,IARS,DGKA,FARSA,,J9P3T9
HTATIP2,,krt222,IFIT5,DHDH,THNSL2,,J9NT16
HTRA1,,KRT23,Ift122,DHFR,CLIC4,,J9PAP6
HTT,,KRT24,IFT46,DHRS7,SAE1,,E2R8Z5
HUWE1,,KRT27,IFT52,DHTKD1,HEXD,,F1PFS9
HYOU1,,KRT3,Ift57,DHX15,SPA17,,E2RMY7
IDH1,,KRT32,IFT74,DHX16,BDH2,,J9P758
IDH2,,KRT33A,IFT80,DHX29,ALDOC,,E2RIX2
IFIT5,,KRT33B,IFT81,DHX30,CYRIB,,J9NVJ0
IFT122,,KRT35,Ift88,DHX36,ANXA11,,J9P2B5
IFT140,,KRT36,IGBP1,DHX57,ENSECAG00000042372,,E2RGN0
IFT172,,KRT39,IGF2R,DHX9,PAXX,,F1PF02
IFT22,,KRT4,IGHA1,DIABLO,AP1B1,,E2QUU4
IFT46,,KRT40,Ikbkap,DIAPH1,ITIH2,,E2QUU5
IFT52,,KRT5,IKBKB,DIAPH2,MAPRE1,,E2REK6
IFT57,,KRT6A,IKBKG,DIPK2A,RPL24,,E2RDB5
IFT74,,KRT7,IL1RAP,DIS3,GPX4,,F1P9W2
IFT80,,KRT72,Ilf2,DKC1,ENSECAG00000009162,,F1PPR0
IFT81,,KRT73,Ilk,DKK3,ENSECAG00000033043,,P61105
IFT88,,KRT76,IMPA1,DLAT,TNFAIP8,,E2RJL3
IGBP1,,KRT77,IMPDH2,DLD,COPS8,,J9P615
IGF2R,,KRT78,INADL,DLG1,FARSB,,J9P616
IKBKB,,KRT79,INPP5A,DLGAP4,ENSECAG00000036248,,E2RK77
IKBKG,,KRT8,IPO11,DLST,ENSECAG00000009275,,F1Q3V2
IL1RAP,,KRT80,IPO4,DMTN,SHTN1,,F1PVE3
ILF2,,KRT84,IPO5,DMXL1,ENSECAG00000017887,,J9P5U3
ILF3,,KRT9,Ipo7,DNAAF4,PSMB10,,F1P7C2
ILK,,KTN1,IPO9,DNAH10,IRF3,,J9NYJ8
IMPA1,,LACTB,IQGAP1,DNAH11,CRIP2,,J9P1R5
IMPDH2,,LAMA2,IQGAP2,DNAH12,CACYBP,,Q8WNN6
IPO11,,LAMA5,IQSEC2,DNAH9,PLPBP,,F1PSC4
IPO4,,LAMB1,Iqub,DNAJA2,PDLIM1,,F1PZ83
IPO5,,LAMB2,Ist1,DNAJA3,ENSECAG00000019719,,F1PSC2
IPO7,,LAMC1,Itch,DNAJA4,PPP1R1B,,E2RJ79
IPO9,,LANCL1,Itfg1,DNAJB1,GNAQ,,E2R1C4
IQCE,,LAP3,Itga6,DNAJB11,H2AC16,,E2R7L1
IQGAP1,,LARS,Itgav,DNAJB13,HMBS,,F1PKF6
IQGAP2,,LCK,ITGB1BP1,DNAJC13,EEA1,,E2RL95
IQSEC2,,LDHA,Itgb5,DNAJC2,TUBA4A,,E2R667
IST1,,LDHB,Itpr3,DNAJC5,HNRNPA1,,F1P912
ITCH,,LGALS3,ITSN2,DNAJC7,SEPTIN7,,E2RHH8
ITGA6,,LIMA1,JAGN1,DNAL1,ELOB,,Q9XSU3
ITGB1,,LIMS1,Jup,DNM1,ENSECAG00000030595,,F6X7L0
ITGB4,,LIN7A,KARS,DNM1L,ZC2HC1A,,E2QXX9
ITIH1,,LIN7C,KATNB1,DNM2,APOA2 ,,F6PMP8
ITIH2,,LIPH,kcnab2,DNPEP,SCLY,,E2RFL0
ITIH4,,LIPI,Kctd12,DOCK1,CDK6,,F1PIF2
JUP,,LMAN1,KCTD21,DOCK7,HDDC3,,F1PT17
KATNA1,,LMAN2,Kdelr1,DOCK9,CD2AP,,E2RIQ8
KATNB1,,LMNA,KEAP1,DPH1,H2BC13,,F1PWL7
KCTD12,,LMNB1,KIAA0196,DPH2,ENSECAG00000016939,,J9NX46
KHDRBS1,,LMNB2,KIAA1033,DPH5,SGTA,,E2RRM6
KHSRP,,LOC101080257,KIAA1324,DPP3,AIMP1,,F1P6P2
KIAA1217,,LOC101080312,Kiaa1598,DPP4,ITPA,,F6UKT8
KIF13B,,LOC101080314,Kiaa2013,DPP7,TBCA,,E2R5P9
KIF21A,,LOC101080561,KIDINS220,DPP8,RAB1B,,O46392
KIF27,,LOC101080736,KIF13B,DPP9,NAMPT,,F1PCM1
KIF2A,,LOC101080790,KIF15,DPYSL3,PDE6D,,E2R5P5
KIF3A,,LOC101080814,KIF19,DR1,UBA6,,F1PI88
KIF3B,,LOC101080976,KIF21A,DRG2,UFM1,,J9P6G0
KIF5B,,LOC101081013,KIF27,DSP,CALR,,E2QY54
KIF5C,,LOC101081066,Kif2a,DSTN,CNN2,,E2QY55
KIFAP3,,LOC101081129,KIF3A,DTD1,PPP1CB,,E2R4C5
KLC1,,LOC101081204,KIF3B,DTYMK,MDP1,,E2R149
KLC4,,LOC101081229,KIF5B,DYNC1H1,DYNC1LI1,,F1P797
KPNA3,,LOC101081808,Kif9,DYNC1I2,ARPC3,,Q9TV56
KPNA4,,LOC101081992,KLC1,DYNC1LI1,ATP5F1A,,E2RNL3
KPNB1,,LOC101082109,Klc4,DYNC1LI2,CCDC170,,E2RNL2
KRAS,,LOC101082653,KNTC1,DYNC2H1,STARD5,,E2R0D6
KRIT1,,LOC101082749,Kpna3,DYNLL1,SYNGAP1,,E2R068
KRT18,,LOC101083265,KPNB1,DYNLRB1,FSCN1,,E2RGE0
KRT19,,LOC101083342,KPRP,DYNLT1,CYP26A1,,E2RJS6
KRT24,,LOC101083514,kras,ECE1,ENSECAG00000017635,,F1PCX0
KRT5,,LOC101083563,KRIT1,ECHDC1,ATP6V1G2,,E2RMN6
KRT7,,LOC101083875,KTN1,ECHS1,AKT2,,J9P6X5
KRT8,,LOC101083959,L3HYPDH,ECI1,EPB41L2,,E2RMN2
KRT80,,LOC101084134,Lamb1,ECM1,RHPN2,,E2RFR0
KRT9,,LOC101084193,LAMB2,ECPAS,AFMID,,P51147
KTN1,,LOC101084194,LAMB3,EDC4,LYPLA2,,E2RBR6
L3HYPDH,,LOC101084270,LAMC1,EEF1A1,SIN3A,,F1PFN3
LAMA2,,LOC101084876,Lamc2,EEF1B2,TPRKB,,F1PA19
LAMB2,,LOC101084915,LANCL2,EEF1D,GPHN,,E2RKN3
LAMC1,,LOC101085148,LARP1,EEF1D.1,TTN,,Q8WMS6
LAMC2,,LOC101085206,Lars,EEF1E1,ENSECAG00000036779,,E2RNB0
LANCL1,,LOC101085207,LDHB,EEF1G,CTTN,,A4GT58
LANCL2,,LOC101085247,Leprotl1,EEF2,CPA4,,F6XMP7
LAP3,,LOC101085451,Lgals1,EEF2K,RADX,,J9NTX8
LARP1,,LOC101085453,LGALS3,EEFSEC,SIRT2,,F1PNP7
LASP1,,LOC101085717,Lgals9,EFCAB5,ZNF516,,E2R240
LDHA,,LOC101085837,LHPP,EFEMP1,CFAP54,,E2RSI5
LDHB,,LOC101085975,Lims1,EFHD2,LAGE3,,J9P2P6
LGALS3,,LOC101086085,LIN7C,EFL1,PPIB,,J9NVD2
LHPP,,LOC101086240,Llgl1,EFTUD2,NGLY1,,E2RP71
LIMA1,,LOC101086587,LLGL2,EGFR,USP12,,E2RRD4
LIN7A,,LOC101086861,LMAN1,EGLN1,KCNB2,,E2RP74
LIN7C,,LOC101086936,LMAN2,EHBP1L1,CLPX,,F1P6W6
LLGL1,,LOC101086971,Lman2l,EHD1,IMPACT,,E2RPP2
LLGL2,,LOC101087008,LPP,EHD3,PHLPP2,,E2R5Y7
LMAN1,,LOC101087114,LRBA,EIF1,SLC35G2,,F1PDM3
LMAN2,,LOC101087365,Lrp1,EIF1AX,PPAT,,J9NZC6
LMNA,,LOC101087401,LRRC16A,EIF2A,EIF3J,,F1P972
LMNB1,,LOC101087599,Lrrc18,EIF2B1,BROX,,E2R8F7
LMNB2,,LOC101087915,Lrrc23,EIF2B2,HTRA4,,J9NXP8
LPAR3,,LOC101088078,LRRC59,EIF2B3,CSE1L,,E2QVF9
LPP,,LOC101088377,LRRC6,EIF2B4,VPS4B,,E2R6E4
LRBA,,LOC101088468,LRRC71,EIF2B5,PACSIN2,,E2R4A5
LRPAP1,,LOC101088681,Lrrfip1,EIF2D,FLOT2,,F1Q3C4
LRRC23,,LOC101088734,LRSAM1,EIF2S1,IGF2R,,E2RIW7
LRRC40,,LOC101088802,LTA4H,EIF2S2,ENSECAG00000031569,,E2QXA3
LRRC45,,LOC101089008,LTN1,EIF2S3,GSK3B,,L7N0I9
LRRC59,,LOC101089059,Lyn,EIF3A,SPATS2L,,E2RDU5
LRRC6,,LOC101089263,Lztfl1,EIF3B,MINAR1,,E2R431
LRRC71,,LOC101089499,MACF1,EIF3D,KNG1,,E2RGN6
LRRFIP1,,LOC101089505,Maea,EIF3E,UBE2D3,,F1PUN9
LRSAM1,,LOC101089914,MAGED2,EIF3F,H3C14,,L7N0H7
LSM8,,LOC101090095,MAGT1,EIF3G,SND1,,Q6YKA4
LTA4H,,LOC101090225,MAN1A2,EIF3I,CCDC6,,E2RMG3
LTF,,LOC101090262,MAN2C1,EIF3K,ENSECAG00000019029,,E2RS85
LTN1,,LOC101090556,Map1a,EIF3L,NNMT,,E2RE39
LZTFL1,,LOC101090856,MAP1B,EIF3M,ENSECAG00000008746,,F1PGH9
M6PR,,LOC101091006,MAP2K1,EIF4A1,DDX1,,F1PCX8
MACF1,,LOC101091022,MAP2K2,EIF4A2,DGKA,,F1PWW0
MAGED2,,LOC101091160,MAP2K3,EIF4B,FAM151B,,E2RQE7
MAGOH,,LOC101091307,Map3k5,EIF4E,ADPRH,,E2RDZ3
MAN2C1,,LOC101091382,Mapk1,EIF4E2,SLC44A4,,F6V5M4
MANF,,LOC101091499,MAPK14,EIF4G1,CYP2U1,,E2QW34
MAP1A,,LOC101091533,MAPK3,EIF4G2,TDRKH,,F1PEL3
MAP1B,,LOC101091579,MAPK8IP3,EIF4G3,DENR,,E2R5G6
MAP2K1,,LOC101091785,MAPKAP1,EIF4H,CD101,,J9PAT0
MAP2K2,,LOC101092025,MAPRE1,EIF5,RAP1GAP2,,F1Q1T5
MAP2K3,,LOC101092274,MARCKS,EIF5A,MSL3,,P54832
MAP3K5,,LOC101092516,MARS,EIF5B,GALK2,,F6UME0
MAP4,,LOC101092708,Mat2a,EIF6,ISG15,,E2RPP1
MAP7D3,,LOC101093016,MATN1,EIPR1,ETF1,,E2R4F5
MAPK1,,LOC101093519,MATN2,ELAVL1,PRRC1,,J9P2W1
MAPK14,,LOC101093537,MCC,ELMO2,ANKS1A,,J9P1M6
MAPK3,,LOC101093772,mcts1,ELMO3,DDX17,,F1Q3H1
MAPK8IP3,,LOC101093782,MDH1,ELOB,CTNNA1,,F1PS26
MAPK9,,LOC101093986,MEMO1,ELOC,LRP5,,E2R0Y5
MAPRE1,,LOC101094019,MFI2,ELP1,ENSECAG00000028562,,F1PLS4
MARCKS,,LOC101094311,Mgea5,ELP2,HMGCS1,,P67811
MARCKSL1,,LOC101094346,Mgrn1,ELP3,NUDT16,,E2RSU3
MAT2A,,LOC101094506,MIA3,EMC1,GNE,,F6V234
MATR3,,LOC101094758,MIB1,EMD,PRPF19,,E2RSJ7
MCTS1,,LOC101094897,Mid1,EML1,TMSB4X ,,F1PYE3
MDH1,,LOC101095127,Mink1,EML2,ENSECAG00000017845,,E2R8P4
MDH2,,LOC101095404,MIOS,EML3,ENAH,,E2RSJ3
MELTF,,LOC101095406,MKLN1,EML4,CDKN2C,,F1P6U3
MEMO1,,LOC101095750,MLEC,EML6,PDIA4,,J9P1V7
MFGE8,,LOC101096314,Mlf2,ENDOD1,PUS1,,J9NYN2
MID1,,LOC101096402,MMS19,ENDOG,DNAJC8,,J9NZ69
MIF,,LOC101096492,MOB1A,ENO3,ENSECAG00000003599,,J9P1V9
MINK1,,LOC101096497,MON2,ENPP4,CAMK2D,,F1PHP1
MIOS,,LOC101096566,MPDZ,EPB41,ARMT1,,E2QXF3
MMS19,,LOC101096742,MPP5,EPB41L1,ENSECAG00000013277,,E2RNY7
MON2,,LOC101096808,MSN,EPB41L2,CORO1C,,J9P702
MPP5,,LOC101096809,MTHFD1,EPB41L3,GMPR2,,E2R8Y3
MSLN,,LOC101096871,Mthfr,EPB41L5,MYLK,,F6UL20
MSN,,LOC101096902,Mtmr2,EPCAM,LANCL2,,F1PIT4
MTHFD1,,LOC101096995,MTOR,EPM2AIP1,HYOU1,,E2R498
MTHFR,,LOC101097024,MVB12A,EPN2,STAT6,,F1Q0B0
MTMR2,,LOC101097497,MVB12B,EPN3,EDF1,,F1PD80
