BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
ALDH1A2,ALDH16A1,ALDOA,PRMT9,PAICS,SEC61A1,HNRPU,CALM1,ACOT1
ALDH1A3,ALDH18A1,ALDOC,ROPN1L,AHNAK,ALDOA,RL6,CALR,ACOT13
ALDH2,ALDH1A1,ALG2,RPAP3,PPP2R1A,,SERB,CAMP,ACOT7
ALDH3A2,ALDH1A2,ALPL,RSPH4A,AGL,LGALS3,RLA0L,CAP1,ACOT9
ALDH3B1,ALDH1A3,ALS2,RSPH9,FKBP4,ITGA5,PTGR1,CAPS,ACOX1
ALDH7A1,ALDH1B1,AMPD3,RUVBL1,PGD,RACK1,DX39B,CAPZA2,ACOX3
ALDH9A1,ALDH1L1,AMY2B,RUVBL2,EEF1A1 ,RPS10,MIF,CAST,ACP1
ALDOA,ALDH1L2,ANAPC1,SCAMP1,TPPP3,LOC100855871,CAH1,CAST,ACP2
ALDOB,ALDH2,ANAPC4,SPA17,HBB ,LMNB1,OSTP,CAT,ACP3
ALDOC,aldh3a1,ANAPC5,SPAG1,ATIC,NQO1,CAYP1,CD109,ACSF2
ALPL,ALDH3A2,ANGPTL2,STK33,NASP,TARS,EF2,CD44,ACSF3
ALS2,ALDH3B1,Ank2,TBPL1,THOP1,PLEC,ESTD,CD5L,ACSL1
ALYREF,ALDH4A1,Ank3,TCTE1,XPNPEP1,PNP,AN32A,CDC37,ACSL3
AMY2B,ALDH5A1,ANKFY1,TOMM34,YWHAZ,DLA88,COPG1,CFB,ACSL4
ANAPC1,ALDH6A1,ANKHD1,TTC12,ENSECAG00000000612,UBA1,UBE2N,CFH,ACSL5
ANK3,ALDH7A1,ANKRD28,TTC21A,CLIC1,PSMD10,ARPC3,CFH,ACSM1
ANKFY1,ALDH9A1,ANKRD42,TTC30B,SERPINB6,GMPPA,A1AT,CFI,ACSS1
ANKHD1,ALDOA,ANKRD44,UBAP2,WARS1,KRT9,ANT3,CFL1,ACSS2
ANKRD28,ALDOB,Anks1a,UBXN11,CLU ,ILF2,PDIA3,CFL2,ACSS3
ANKRD44,ALDOC,ANO6,WDR78,GSTM3,SNRNP70,ITIH4,CHID1,ACTA2
ANKS1A,ALPL,ANXA1,WNK4,PRDX1,RBPMS,CAH2,CKB,ACTB
ANO6,ALS2,ANXA11,A2M,SNCG,TXNL1,ITIH3,CLEC3B,ACTBL2
ANPEP,ALYREF,ANXA2,AACS,DARS1,,UBA1,CLIC1,ACTL6A
ANXA1,AMOTL1,ANXA4,AAK1,PEBP1,,DHPR,CLU,ACTN1
ANXA11,AMOTL2,ANXA5,AAMDC,GPD1,FAM81B,CFAH,CMPK1,ACTN2
ANXA2,AMY2B,ANXA6,AAMP,SERPINB1 ,,PSA1,CNIH4,ACTN4
ANXA3,ANO7,ANXA7,AARS1,ENSECAG00000009766,,COPB2,CNPY2,ACTR10
ANXA4,ANXA1,AP1B1,ABCB6,CCT8,GSTO1,THIO,CNPY3,ACTR1A
ANXA5,ANXA11,Ap1g1,ABCB7,IPO5,ARL8B,PA1B3,COL14A1,ACTR1B
ANXA6,ANXA2,AP1G2,ABCD3,KPNB1,TMED2,RS4X,COL14A1,ACTR2
ANXA7,ANXA3,AP1M1,ABCE1,CAPN1,MYL12A,ARPC4,COL1A2,ACTR3
ANXA8,ANXA4,AP1M2,ABCF1,CCT3,RNF170,TXNL1,CP,ACY1
AP1B1,ANXA5,AP1S1,ABCF3,TTC38,CNBP,CRIP2,CPB2,ACYP1
AP1G1,ANXA6,AP2A1,ABCG2,TPI1,SAE1,LV104,CPN2,ACYP2
AP1G2,ANXA7,AP2A2,ABHD10,CCT2,HSPA5,RL27,CR2,ADA
AP1M1,AP1B1,AP2B1,ABHD11,DCXR,RPS16,APEX1,CRYGS,ADA2
AP1M2,AP1G1,AP2M1,ABHD12,FAH,DYNC1I2,CLH1,CRYL1,ADAM10
AP1S1,ap1g2,AP2S1,ABHD14B,CAPN2,PITPNB,PSMD5,CSRP1,ADAM12
AP2A1,AP1M2,AP3B1,ABI1,CAPS,LSM8,RL40,CST3,ADAM9
AP2A2,AP2A1,AP3D1,ABR,GDI2,H2AFZ,TCPA,CSTB,ADAMTS1
AP2B1,AP2A2,Ap3m1,ABRAXAS2,SMS,SLC25A3,FRIH,CTBS,ADAMTSL4
AP2M1,AP2B1,APIP,ACAA1,HCFC2,GLRX,SODC,CTSC,ADAMTSL5
AP3B1,AP2M1,APMAP,ACAA2,PSME1,GLS,HINT1,CTSD,ADAR
AP3D1,AP2S1,APOB,ACACA,AKR1B1,CTC1,CAN1,CTSF,ADCY6
AP3M1,AP3S1,Appl1,ACAD8,EEF1G ,NEMF,CLUS,CTSV,ADD1
AP3S1,APEX1,APPL2,ACADL,A1BG,ZYX,ROA1,CTSZ,ADD2
APEX1,APLF,ARAF,ACADM,DPP3,RNH1,SAHH,CUTA,ADD3
APIP,APOA1,Arcn1,ACADS,MYH10,PCBP1,PDXK,DBI,ADGRA2
APOA1,APOB,Arf1,ACADSB,CD109,,TCPG,DDT,ADGRE5
APOB,APOE,ARF5,ACADVL,CCT7,RPN2,HVM47,DES,ADGRG1
APOE,APOH,Arf6,ACAP2,PGAM1,DDOST,RS11,DESI2,ADH1B
APOH,APOO,ARFGEF1,ACAT1,GSS,,TGM2,DNAH11,ADH5
APPL1,APPL1,ARFGEF2,ACAT2,PFKL,ATP1A1,SPB5,DNASE2,ADI1
APPL2,appl2,Arfip1,ACBD6,CCT5,RASIP1,TCPQ,DOCK4,ADIPOQ
ARAF,AQP5,ARFIP2,ACLY,ENSECAG00000021580,PDIA3,VTDB,DPP3,ADIRF
ARCN1,ARAP2,Arhgap1,ACO1,ENG,,RAB2A,DPP4,ADK
ARF3,ARCN1,ARHGAP17,ACO2,NUDC,FLNC,FABP5,DPP4,ADNP
ARF4,ARF1,ARHGAP35,ACOT7,CAT,ATP5IF1,ACLY,DPYSL3,ADO
ARF5,ARF3,ARHGAP5,ACOT9,ENSECAG00000020129,,CFDP2,DSP,ADPGK
ARF6,ARF4,Arhgdia,ACOX1,ASL,EIF6,TEBP,DSTN,ADPRH
ARFGEF1,ARF5,Arhgef1,ACP1,ALAD,HNRNPM,LASP1,DYNC2H1,ADPRHL1
ARFGEF2,ARF6,ARHGEF10L,ACP1.1,PSMD2,GALK1,RL8,EEF1A1,ADPRS
ARFIP1,ARFGEF1,ARHGEF11,ACP2,TAGLN2,CSRP2,RL19,EFEMP1,ADRM1
ARFIP2,ARHGDIA,ARHGEF12,ACP3,ACLY,LOC610164,PRDX1,EIF5A2,ADSL
ARHGAP1,ARHGEF15,ARHGEF26,ACP6,ANXA4,DBNL,WDR1,ENO1,ADSS2
ARHGAP17,ARL6IP5,ARHGEF5,ACSBG1,ADH5,RPL6,ALDOA,EPHX2,AEBP1
ARHGAP35,ARMC4,ARHGEF7,ACSBG2,GSN ,SLC25A5,TTHY,ERO1A,AFAP1L2
ARHGAP5,ARPC1A,ARIH2,ACSL1,HSPB1,SARS,TCPB,ERP29,AFDN
ARHGDIA,ARPC1B,Arl1,ACSL3,LZTFL1,PPIAP4,PRDX2,ESD,AFG3L2
ARHGEF1,ARPC2,Arl2,ACSS1,HPRT1,ANXA5,ADHX,EZR,AFM
ARHGEF12,ARPC4,ARL3,ACSS2,GARS1,RPLP0,INO1,F2,AFP
ARHGEF5,ARPC5L,ARL6,ACSS3,NSFL1C,PDLIM1,CRYM,FABP3,AGA
ARHGEF7,ARRB1,ARL8B,ACTA1,ISYNA1,EIF2S2,ROA2,FABP4,AGAP1
ARIH2,ASAH1,ARMC3,ACTA2,ENSECAG00000019352,PDHB,PSB4,FABP5,AGAP3
ARL1,ASNA1,ARMC4,ACTG1,PGLS,GXYLT2,TRY1,FABP7,AGFG1
ARL2,ASPM,ARMC8,ACTG2,PPIA,PRPF40B,APOA4,FBLN1,AGFG2
ARL3,ATG7,Arpc1a,ACTL6A,PSME2,,RS20,FBP1,AGK
ARL6,ATL3,ARPC1B,ACTN1,QDPR,CSTB,PSA6,FETUB,AGL
ARMC3,ATP12A,Arpc2,ACTN4,RUVBL1,RTN4,RL30,FGA,AGO1
ARMC4,ATP1A1,Arpc3,ACTR10,A2M,EIF3D,HEMO,FGB,AGO2
ARMC8,ATP1A2,Arpc4,ACTR1B,CFL1,HSPA8,ITIH2,FGG,AGO3
ARPC1A,ATP1A3,Arpc5,ACTR2,PA2G4 ,PLOD2,ILEU,FHL1,AGPAT1
ARPC1B,ATP1A4,Asap2,ACTR3,ACTN4,CLIC1,GSTO1,FKBP1,AGPAT2
ARPC2,ATP1B1,ASCC3,ACY1,NME2,SEC61B,S14L3,FKBP2,AGPAT3
ARPC3,ATP2A1,Asna1,ADA,CASP6,HNRNPH1,PGK1,FKBP4,AGPAT4
ARPC4,ATP2A3,ASNS,ADAM10,CRYZ,HDHD2,EF1G,FLNA,AGPAT5
ARPC5,ATP2B1,ASPH,ADD2,ACTR3,EIF2S3,B2MG,FN1,AGPS
ARPC5L,ATP2B2,ATG2B,ADD3,ALDH7A1,SNRPA,XPP1,FSIP2,AGR2
ARRB1,ATP2B3,ATIC,ADGRE5,RACK1,NAP1L1,PHS,FTH1,AGR3
ASAP2,ATP2B4,ATL2,ADI1,RPSA,EIF4H,ANXA5,FTL,AGRN
ASNS,ATP4A,ATL3,ADIPOQ,HNRNPK,TIMM23B,RS8,G6PD,AGT
ATG2B,ATP5A1,ATP11B,ADK,C23H9orf64,HNRNPL,HSPB1,GANAB,AGTR2
ATG7,ATP5B,Atp13a1,ADO,NARS1,CCT4,RAN,GAPDH,AGTRAP
ATIC,ATP5C1,ATP2A2,ADPGK,PGM2L1,GARS,PRDX6,GBE1,AHCTF1
ATP1A1,ATP5D,ATP2B1,ADPRH,PARK7,CAPG,RS25,GC,AHCY
ATP1B1,ATP5F1,ATP2B2,ADPRS,EML1,APRT,CAND1,GDI1,AHCYL1
ATP2B1,ATP5G1,Atp2c1,ADRM1,RPS3,BAX,RL12,GDI2,AHNAK
ATP2B2,ATP5G2,ATP5B,ADSL,PSMD1,VDAC2,TALDO,GLO1,AHNAK2
ATP2B4,ATP5G3,ATP6V0A1,ADSS1,GLOD4,PSME2,RS16,GLOD4,AHSA1
ATP6V0D1,ATP5O,ATP6V0D1,AEBP1,PSMA7,RPL26,CAZA1,GLRX,AHSG
ATP6V1A,ATP6V1A,Atp6v1a,AFDN,RAB11B,AIFM1,CBR3,GOLM1,AHSP
ATP6V1B1,ATP6V1B1,ATP6V1B1,AFTPH,TGM2,LOC607833,RUVB1,GOT1,AIDA
ATP6V1B2,ATP6V1B2,Atp6v1b2,AGL,CTH,SNRPD3,RL18A,GPD1,AIF1
ATP6V1C1,ATP6V1C1,Atp6v1c1,AGO1,EPHX2,RAB11A,SND1,GPX1,AIF1L
ATP6V1D,ATP6V1D,ATP6V1D,AGO2,CCT6A,EIF3M,HPRT,GSN,AIFM1
ATP6V1E1,ATP6V1H,Atp6v1e1,AGPAT5,PSMA1,EIF3L,COF1,GSTM2,AIMP1
ATP6V1G3,ATPIF1,atp6v1g3,AGR2,ALDH9A1,PTCH1,K1C19,GSTM3,AIMP2
ATP6V1H,AUH,ATP6V1H,AGT,RPL7A,GAPDH,HSP74,GSTM4,AIP
ATP8B2,AURKB,Atp7a,AGXT2,PGM2,HNRNPF,KCRB,GSTO1,AK1
BAG5,BASP1,ATP8B1,AHCY,SERPINC1,MDH2,PLSL,GSTP1,AK2
BAG6,bcam,Atp8b2,AHCYL1,LTA4H,DNAH3,ACOC,GSTZ1,AK3
BAIAP2,BCAP29,Atp9b,AHCYL2,VARS1,CFL1,TBB4B,H6PD,AK4
BAIAP2L1,BCAP31,Atrn,AHNAK,RPS9,,GDIB,HBA,AKAP12
BASP1,BCLAF1,B9D1,AHNAK2.1,ST13,CAV1,CO3,HBB,AKAP13
BAX,BHMT,Bag5,AHSA1,DPYSL2,DPYSL2,A2MG,HDGF,AKAP2
BBS1,BLMH,BAG6,AHSG,PSMD11,ETFA,TRFL,HEBP2,AKAP8
BBS2,BMP2K,BAIAP2L1,AIDA,RPS4X,MFGE8,HSP7C,HEXA,AKAP8L
BBS4,BNC1,BASP1,AIF1L,RPS3A,OXER1,AOC3,HEXB,AKAP9
BBS5,BNC2,BAX,AIMP1,RARS1,HIST2H2AC,RL9,HMGB1,AKR1A1
BBS7,BPHL,BBS1,AIMP2,GPD1L,YBX1,1433T,HNRNPAB,AKR1B1
BBS9,BPNT1,Bbs2,AIP,HUWE1,,APOA1,HNRNPK,AKR1C1
BCAM,BTBD16,BBS4,AK1,PSMD3,AKR1B1,HS74L,HP,AKR1C3
BCR,BUB3,BBS5,AK2,PPA1,HSPA9,RS13,HPX,AKR7A2
BDH2,C1QC,BBS7,AK3,PGFS ,RPL10L,SYQ,HRG,AKT1
BECN1,C5,BBS9,AKAP10,PLIN4,GLUD1,CO4,HSP90AA1,AKT2
BICD2,CA2,Bcap31,AKAP12,OSCP1,CA3,HBA1,HSP90AB1,AKT3
BIRC6,CA3H2orf70,Bcr,AKAP13,PYGL,CLTC,ARP2,HSP90B1,ALAD
BLMH,CAD,Bdh2,AKAP9,PSMA3,,GELS,HSPA5,ALB
BPNT1,CADM1,becn1,AKR1A1,ITIH1,EIF4E,HS71A,HSPA8,ALCAM
BRCC3,CALD1,Bet1,AKR1D1,ENSECAG00000037149,LOC100687092,TBB5,HSPB1,ALDH16A1
BROX,CALR,Bicd2,AKT1,RPLP0,RBM4,IDHC,HSPD1,ALDH18A1
BUB3,CALU,BIRC6,AKT2,PTGR2,CPNE3,AK1A1,HSPE1,ALDH1A1
BZW1,CAMK2A,BLMH,AKTIP,CAPNS1,TGFB2,IF4A2,HYOU1,ALDH1A2
BZW2,CAMK2D,Bpnt1,ALAD,AKR7A2,MTAP,ANXA8,ICAM1,ALDH1A3
C1QC,CAMK2G,Brcc3,ALCAM,RAN,SNX3,ACTB,IDH1,ALDH1B1
C2CD5,CAND1,BRE,ALDH16A1,ENSECAG00000008615,TRMT112,6PGL,ighg,ALDH1L2
C3,CAND2,BROX,ALDH18A1,APRT,DDX17,SPSY,INMT,ALDH2
C5,CANX,Btbd17,ALDH1A2,YWHAQ,VASP,PSA7,ITIH1,ALDH3A2
CA2,CAP1,Bzw1,ALDH1A3,ADK,,K2C1,ITIH2,ALDH3B1
CAB39,CAP2,BZW2,ALDH1L1,CDC37,ACTG1,CH3L1,ITIH3,ALDH4A1
CACYBP,CAPG,C10orf76,ALDH2,FLNB,PTGES3,1433E,ITIH4,ALDH5A1
CAD,CAPN1,C12orf4,ALDH3A2,DDT,DTD1,LDHB,ITIH4,ALDH6A1
CALCOCO1,CAPN2,C16orf62,ALDH3B1,PSMC6,FLNB,GSTM1,JCHAIN,ALDH7A1
CALD1,CAPN5,C2CD5,ALDH4A1,ESD,COL1A2,K1M1,KDELC2,ALDH9A1
CALR,CAPNS1,C3,ALDH5A1,RPS2,NDUFC2,TRFE,KLKB1,ALDOA
CALU,CAPNS2,C4B,ALDH6A1,ARHGAP18,GXYLT1,VINC,KNG1,ALDOC
CAMK2D,CAPRIN1,C9orf117,ALDH7A1,PSMD12,PTGR1,HS105,KNG1,ALG1
CAMK2G,CAPS,CAB39,ALDH9A1,BLVRB,STX7,ANXA2,LAP3,ALG11
CAND1,CAPSL,Cacna2d1,ALDOA,PDCD4,RPL13A,K1C18,LCN2,ALG12
CAND2,CAPZA1,CACYBP,ALDOC,PRDX5,,FIBG,LDHB,ALG14
CANX,CAPZB,CAD,ALG12,PSMD6,LOC484492,PPIB,LGALS1,ALG2
CAP1,CARMIL1,CADPS2,ALPL,ALDH1L1,LTBP2,SYTC,LGALS3,ALG3
CAP2,CARS,CALCOCO1,ALYREF,MSN,RPL11,MYH14,LGALS3BP,ALG5
CAPG,CASK,calm1a,AMBP,DNPEP,UBR4,K1C10,LGMN,ALG6
CAPN1,CASP10,CALML5,AMDHD2,GRHPR,MYH9,ACTN4,LHPP,ALG8
CAPN2,CAST,Calr,AMPD2,SERPINB9,WARS,HS90B,LLGL2,ALOX5
CAPN5,CAT,Camk2d,AMPD3,PAFAH1B3,PRAF2,PROF1,LOC100008973,ALOX5AP
CAPN7,CAV1,Camk2g,ANK1.1,PRMT5,RPS12,AL1A2,LOC100008980,ALPL
CAPNS1,CAV3,CAND1,ANK3,GALM,,PYGL,LOC100008986,ALYREF
CAPRIN1,cbr3,Canx,ANKFY1,RPS5,MANF,OVGP1,LOC100009136,AMBP
CAPS,CBR4,CAPG,ANKMY2,YWHAB,YWHAZ,AL1A1,LOC100009168,AMDHD2
CAPSL,CC1H1orf158,CAPN2,ANKRD28,ENSECAG00000013962,IDH3A,1433Z,LOC100009332,AMOT
CAPZA1,CC2H21orf33,Capn7,ANKRD40,PRPS2,PSMB3,PPIA,LOC100009551,AMOTL1
CAPZA2,CCAR1,CAPNS1,ANKRD44,SPI2,CAPNS1,KRT81,LOC100328621,AMPD2
CAPZB,CCAR2,Caprin1,ANP32A,GSR,ENO1,HBB,LOC100328910,ANAPC1
CARM1,CCDC113,CAPSL,ANP32B,TTR,TIMM50,GSTP1,LOC100341160,ANAPC2
CARMIL1,CCDC114,Capza1,ANP32E,ALDH16A1,EEF1A1,GDIR1,LOC100343047,ANAPC4
CASK,CCDC13,CAPZA2,ANPEP,PSMA4,EIF3F,G3P,LOC100343300,ANAPC5
CAST,CCDC170,Capzb,ANXA10,KCTD12,RPL7A,PGAM1,LOC100343481,ANGPT2
CAT,CCDC173,Carm1,ANXA11,GSTO1,RPL23,ENPL,LOC100343920,ANGPTL2
CAV1,CCDC181,Casc4,ANXA2,EML2,SLC25A6,PLMN,LOC100343920,ANGPTL6
CBR3,ccdc187,Cask,ANXA4,CAST,RPL5,ALBU,LOC100344979,ANK1
CC2D1B,CCDC22,CASP14,ANXA5,RPS7,,KPYM,LOC100345428,ANK2
CCAR2,CCDC39,Cat,ANXA6.1,CAPZB,AKR1A1,TTL12,LOC100345430,ANK3
CCDC186,CCDC40,CAV1,ANXA9,RO60,FSCN1,A1BG,LOC100345591,ANKFY1
CCDC22,CCDC6,CC2D1B,AOX1,ACTR2,EIF1,MYH9,LOC100345691,ANKHD1
CCDC6,CCDC88C,CC2D2A,AP1G1,AHCYL1,TPM3,IQGA1,LOC100345698,ANKMY2
CCDC91,CCDC91,CCDC13,AP1M1,ANXA7,WDR1,NDKB,LOC100345716,ANKRD13A
CCDC93,CCDC93,Ccdc132,AP1M2,PSMA6,G3BP1,TKT,LOC100346229,ANKRD17
CCM2,CCT2,CCDC173,AP1S2,PSMB8,GAPDHS,FKBP4,LOC100346672,ANKRD35
CCNY,CCT3,CCDC180,AP2A1,GC,LOC474938,CFAB,LOC100346690,ANKRD39
CCT2,CCT4,CCDC186,AP2A2.1,ARHGDIA,BCAT2,6PGD,LOC100346892,ANKRD44
CCT3,CCT5,Ccdc22,AP2B1,PFKP,,MOES,LOC100347019,ANKRD49
CCT4,CCT6A,Ccdc47,AP2M1,RUVBL2,ARPC4,K22E,LOC100349077,ANKS1A
CCT5,CCT6B,Ccdc6,AP2S1,PFAS,,DEST,LOC100349084,ANO10
CCT6A,CCT7,CCDC91,AP3B1,TXN,ARPC3,LDHA,LOC100349824,ANO6
CCT6B,CCT8,Ccdc93,AP3D1,UBE2N,GFPT2,1433B,LOC100349893,ANP32A
CCT7,CD109,CCM2,AP3M1,GFUS,LMNA,GSTM5,LOC100350210,ANP32B
CCT8,CD177,CCNY,AP3S1,EEF1B2,COX4I1,PRDX5,LOC100351519,ANP32E
CD109,CD2AP,CCT3,AP4B1,PCBP2,CAVIN1,PSME1,LOC100352491,ANPEP
CD2AP,CD55,CCT4,APBB1,SERBP1,NDUFB10,K2C8,LOC100353095,ANTXR1
CD55,CD59,CCT5,APEH,TUBA1A,RPS2,EZRI,LOC100353328,ANTXR2
CD5L,CD5L,CCT6A,APEX1,ARPC2,EMC8,HBA,LOC100353681,ANXA1
CD9,CD63,CCT7,API5,SLC9A3R1,RPL35A,QOR,LOC100353846,ANXA10
CDC16,CD9,CCT8,APIP,PSMA2,S100A11,K1C9,LOC100354806,ANXA11
CDC37,CDC42,CD109,APMAP,PFKM ,FH,PLSI,LOC100355572,ANXA13
CDC42,CDH1,CD2AP,APOA1,PSMD5,CA2,SBP1,LOC100356307,ANXA2
CDC42BPA,CDK5RAP3,Cdc16,APOA2,DDX39B,PKM,ANXA1,LOC100357214,ANXA3
