"Name","HMDB","KEGG"
"S-Adenosylhomocysteine","HMDB0000939","C00021"
"Sorbitol","HMDB0000247","C00794"
"Capric acid","HMDB0000511","C01571"
"Caprylic acid","HMDB0000482","C06423"
"D-Glucose","HMDB0000122","C00031"
"Glucose 6-phosphate","HMDB0001401","C00668"
"L-Kynurenine","HMDB0000684","C00328"
"L-Phenylalanine","HMDB0000159","C00079"
"L-Tryptophan","HMDB0000929","C00078"
"Pantothenic acid","HMDB0000210","C00864"
"Uridine","HMDB0000296","C00299"
"Xanthine","HMDB0000292","C00385"
"Glutathione","HMDB0000125","C02471"
"Acetylglycine","HMDB0000532","NA"
"Alpha-Linolenic acid","HMDB0001388","C06427"
"Erucic acid","HMDB0002068","C08316"
"Glyceraldehyde","HMDB0001051","C02154"
"N-Acetyl-L-tyrosine","HMDB0000866","C01657"
"Deoxyinosine","HMDB0000071","C05512"
"Dodecanedioic acid","HMDB0000623","C02678"
"Hypotaurine","HMDB0000965","C00519"
"O-Phosphoethanolamine","HMDB0000224","C00346"
"Phytanic acid","HMDB0000801","C01607"
"Urocanic acid","HMDB0000301","C00785"
"7-Methylguanine","HMDB0000897","C02242"
"Alpha-Hydroxyisobutyric acid","HMDB0000729","NA"
"Hypoxanthine","HMDB0000157","C00262"
"Indoxyl sulfate","HMDB0000682","NA"
"Suberic acid","HMDB0000893","C08278"
"Taurodeoxycholic acid","HMDB0000896","C05463"
"Behenic acid","HMDB0000944","C08281"
"Caffeic acid","HMDB0001964","C01481"
"Isobutyrylglycine","HMDB0000730","NA"
"Octadecanedioic acid","HMDB0000782","NA"
"1,5-Anhydrosorbitol","HMDB0002712","C07326"
"2-Hydroxyethanesulfonate","HMDB0003903","C05123"
"Carnosine","HMDB0000033","C00386"
"Homocitrulline","HMDB0000679","C02427"
"Methionine sulfoxide","HMDB0002005","NA"
"Pipecolic acid","HMDB0000070","C00408"
"Azelaic acid","HMDB0000784","C08261"
"Glyceric acid","HMDB0000139","C00258"
"myo-Inositol","HMDB0000211","C00137"
"N-Acetylglutamic acid","HMDB0001138","C00624"
"Pyrrolidonecarboxylic acid","HMDB0000805","C02237"
"Undecanoic acid","HMDB0000947","C17715"
"Vaccenic acid","HMDB0003231","C08367"
"L-Carnitine","HMDB0000062","C00318"
"Linoleic acid","HMDB0000673","C01595"
"N-Acetyl-L-alanine","HMDB0000766","NA"
"Stearic acid","HMDB0000827","C01530"
"Hexadecanedioic acid","HMDB0000672","C19615"
"Malonic acid","HMDB0000691","C04025"
"Pentadecanoic acid","HMDB0000826","C16537"
"p-Hydroxymandelic acid","HMDB0000822","C11527"
"Threonic acid","HMDB0000943","C01620"
"Undecanedioic acid","HMDB0000888","NA"
"01* D-Lactic acid Results",NA,NA
"02* Cyclic AMP Results",NA,NA
"03* Pyruvic acid Results",NA,NA
"01* L-Histidine Results",NA,NA
"L-Threonine",NA,NA
"12* Beta-N-Acetylglucosamine",NA,NA
