ONTOLOGY,ID,Description,Count,GeneList,Bg,BgList,pvalue,p.adjust,qvalue,geneID
BP,GO:0045778,positive regulation of ossification,14,1181,41,11502,3.28E-05,0.014179902,0.013617329,BMP6/MEF2C/ACVR2B/SMAD3/TGFB3/BMP7/SOX11/SLC8A1/GPM6B/ACVR1/PTN/BMPR2/BMPR1A/NIPBL
BP,GO:0061564,axon development,64,1181,379,11502,3.95E-05,0.01580428,0.015177261,PTK2/BCL2/SEMA5A/MAPK8IP3/SEMA6A/PTCH1/EFNA5/MAP1B/EMB/NFIB/COBL/ANK3/NEO1/NPTN/SHTN1/FGFR2/UNC5A/BMP7/CDH11/EPHA4/FN1/MAP2/ROBO2/ROBO1/EPHA3/CDKL5/ANOS1/NCAM2/TIAM1/ALCAM/GLI2/CHN1/DCLK1/ATP8A2/NCAM1/TNN/TIAM2/EPHA7/TNFRSF21/NPTX1/LRIG2/ZDHHC17/SEMA3D/SEMA3A/PTPRZ1/PTN/PARD3/SLIT2/APP/PTPRS/SPAST/BMPR2/SEMA3E/STXBP1/C9orf72/ARHGAP35/TOP2B/BOC/SIAH1/EPHA5/PTEN/JAK2/UNC5C/PLXND1
BP,GO:0016570,histone modification,60,1181,350,11502,4.38E-05,0.01580428,0.015177261,AKAP8L/KDM4B/UBR5/JARID2/EYA1/TRRAP/USP22/KDM4C/SETD2/SETD5/KAT6B/NSD1/SETD3/TET3/TBL1X/JADE3/PAXBP1/SFPQ/CDC73/KDM5B/EYA4/TRERF1/KDM6B/USP36/PRKCA/DR1/KDM7A/KMT2C/WAC/PHF14/TET2/SMARCAD1/KDM2A/FMR1/EZH2/MTF2/RCOR1/RCOR3/USP15/MYSM1/EHMT1/YEATS2/CARM1/ATF2/EZH1/TRIP12/NIPBL/NSD3/KANSL1/KDM1A/USP3/PHF20/JMJD1C/HUWE1/BRMS1L/PARG/JAK2/CREBBP/OGT/MECOM
BP,GO:2001222,regulation of neuron migration,13,1181,37,11502,4.45E-05,0.01580428,0.015177261,SEMA6A/SHTN1/ZNF609/DAB2IP/CAMK2B/IGSF10/COL3A1/TNN/LRIG2/SEMA3A/ULK4/RAPGEF2/NIPBL
BP,GO:0001501,skeletal system development,66,1181,399,11502,5.78E-05,0.017026037,0.016350546,MMP16/BMP6/CHD7/EYA1/SMAD2/IFT140/ROR2/RAI1/MEF2C/NFIB/FREM1/SETD2/FGFR2/PLEKHA1/AKAP13/LRRK1/SMAD3/COL27A1/MMP2/ANXA6/JAG2/TGFB3/FOXN3/GNAS/BMP7/MBOAT2/SOX11/SLC39A14/FGFR1/MEIS1/WWOX/CDH11/RUNX1/BBX/GLI2/SATB2/COL5A2/COL3A1/HOXD4/BMP5/COL11A1/ALX1/COL2A1/VDR/WNT5B/SOX5/LRRC17/CREB3L2/MKX/COL1A2/FBXW7/PDGFC/PAPSS1/HOXD8/DCHS1/BMPR2/MBTD1/DHRS3/LUM/INSIG1/BMPR1A/NIPBL/SMAD5/MAPK14/FLI1/PLS3
BP,GO:0016358,dendrite development,40,1181,207,11502,5.86E-05,0.017026037,0.016350546,ASAP1/PREX2/EEF2K/SDK1/MEF2C/MAP1B/PTPRD/COBL/NEDD4/DAB2IP/BMP7/CAMK2B/BTBD3/BCL11A/EPHA4/MAP2/ABI2/NCK2/CDKL5/TIAM1/HECW2/DCLK1/RERE/DNM3/BMP5/TANC2/RBFOX2/SEMA3A/PTN/RAPGEF2/HPRT1/FMR1/APP/PTPRS/EZH2/CARM1/CAMK1D/MINK1/PTEN/ITSN1
BP,GO:0030501,positive regulation of bone mineralization,12,1181,33,11502,5.92E-05,0.017026037,0.016350546,BMP6/MEF2C/ACVR2B/SMAD3/TGFB3/BMP7/SLC8A1/GPM6B/ACVR1/PTN/BMPR2/BMPR1A
BP,GO:0007409,axonogenesis,58,1181,340,11502,6.74E-05,0.018521706,0.017786877,PTK2/BCL2/SEMA5A/SEMA6A/PTCH1/EFNA5/MAP1B/EMB/NFIB/COBL/ANK3/NEO1/NPTN/SHTN1/FGFR2/UNC5A/BMP7/CDH11/EPHA4/FN1/MAP2/ROBO2/ROBO1/EPHA3/CDKL5/ANOS1/TIAM1/ALCAM/GLI2/CHN1/DCLK1/ATP8A2/NCAM1/TNN/TIAM2/EPHA7/NPTX1/ZDHHC17/SEMA3D/SEMA3A/PTPRZ1/PARD3/SLIT2/APP/PTPRS/SPAST/BMPR2/SEMA3E/STXBP1/C9orf72/ARHGAP35/TOP2B/BOC/SIAH1/EPHA5/PTEN/UNC5C/PLXND1
BP,GO:0007507,heart development,73,1181,457,11502,7.64E-05,0.020064474,0.019268437,PTK2/JARID2/MIB1/CHD7/EYA1/FHOD3/SMAD2/IFT140/IFT74/PTCH1/MEF2C/ADAMTS6/SETD2/RBM20/PDCD4/FGFR2/AKAP13/SMAD3/TSC1/SGCD/MATR3/BMP7/SOX11/JAG1/MEIS1/SLC8A1/DIPK2A/TFDP2/FN1/ERBB4/ROBO2/ROBO1/RUNX1/GLI2/COL3A1/ACVR1/NEB/SGCG/RPS6KA2/ADGRG6/TBC1D32/BMP5/KDM6B/COL11A1/NF1/DUSP6/COL2A1/PKP2/PRICKLE1/ARID2/PTN/SLIT2/NPY5R/APELA/DCHS1/CASP8/BMPR2/DHRS3/YAP1/ANK2/CTDP1/ATF2/PRKDC/BMPR1A/NIPBL/SMAD5/EDNRA/C2CD3/DYNC2H1/MAPK14/PTEN/FRS2/PLXND1
BP,GO:0001503,ossification,54,1181,314,11502,9.57E-05,0.02409729,0.023141254,PTK2/MMP16/BMP6/BCL2/ROR2/HSD17B4/PTCH1/MEF2C/ACVR2B/FGFR2/SMAD3/MMP2/TGFB3/BMP7/SOX11/JAG1/SLC8A1/WWOX/CDH11/CBFB/IGSF10/WWTR1/TXLNG/GPM6B/RUNX1/GLI2/SATB2/COL5A2/ACVR1/DDR2/TNN/ENPP1/BMP5/COL11A1/SORT1/NF1/COL2A1/SND1/PTN/MKX/DNAJC13/COL1A2/LGR4/DCHS1/BMPR2/DHRS3/YAP1/TWSG1/SUN1/BMPR1A/NIPBL/SMAD5/MAPK14/HNRNPC
BP,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,47,1181,266,11502,0.000138561,0.031017098,0.029786527,PTK2/BMP6/SDCBP/SMAD2/ROR2/RGMB/ACVR2B/BMPER/IL17RD/NEO1/PDCD4/HTRA1/CILP/SMAD3/ADAMTSL2/ZNF423/TGIF2/FUT8/TGFB3/PMEPA1/BMP7/LTBP1/SOX11/SPRED2/WWTR1/COL3A1/ACVR1/BMP5/TFAP2B/UBE2O/TRIM33/HIPK2/COL1A2/SNX25/BMPR2/SPTBN1/USP15/SPRY2/TWSG1/NUP93/BMPR1A/SMAD5/MAPK14/ZFYVE9/JAK2/CREBBP/CD109
BP,GO:0010717,regulation of epithelial to mesenchymal transition,20,1181,82,11502,0.000178505,0.034149628,0.032794777,SDCBP/SMAD2/IL17RD/TCF7L2/SMAD3/DAB2IP/TGFB3/BMP7/JAG1/SPRED2/WWTR1/EPHA3/TIAM1/CLASP1/ACVR1/BMP5/ALX1/EZH2/SPRY2/PTEN
BP,GO:0071772,response to BMP,27,1181,127,11502,0.000180805,0.034149628,0.032794777,BMP6/SMAD2/ROR2/RGMB/ACVR2B/BMPER/NEO1/PDCD4/HTRA1/SMAD3/ZNF423/TGFB3/BMP7/SOX11/ACVR1/BMP5/TFAP2B/UBE2O/TRIM33/COL2A1/HIPK2/TNMD/BMPR2/USP15/TWSG1/BMPR1A/SMAD5
BP,GO:0071773,cellular response to BMP stimulus,27,1181,127,11502,0.000180805,0.034149628,0.032794777,BMP6/SMAD2/ROR2/RGMB/ACVR2B/BMPER/NEO1/PDCD4/HTRA1/SMAD3/ZNF423/TGFB3/BMP7/SOX11/ACVR1/BMP5/TFAP2B/UBE2O/TRIM33/COL2A1/HIPK2/TNMD/BMPR2/USP15/TWSG1/BMPR1A/SMAD5
BP,GO:0048013,ephrin receptor signaling pathway,13,1181,42,11502,0.000195394,0.034734157,0.033356115,PTK2/EFNA5/MMP2/EPHA4/NCK2/EPHA3/TIAM1/CHN1/EPHA7/ARHGEF7/YES1/EPHA5/ANKS1A
BP,GO:0030509,BMP signaling pathway,25,1181,117,11502,0.000284766,0.040534836,0.038926658,BMP6/SMAD2/ROR2/RGMB/ACVR2B/BMPER/NEO1/PDCD4/HTRA1/SMAD3/ZNF423/TGFB3/BMP7/SOX11/ACVR1/BMP5/TFAP2B/UBE2O/TRIM33/HIPK2/BMPR2/USP15/TWSG1/BMPR1A/SMAD5
BP,GO:0048864,stem cell development,18,1181,74,11502,0.000383477,0.047300765,0.045424156,SEMA5A/SEMA6A/SETD2/ANXA6/BMP7/SOX11/JAG1/FN1/ERBB4/ACVR1/MSI2/ALX1/SEMA3D/SEMA3A/SEMA3E/BMPR1A/EDNRA/FAM172A
BP,GO:0060395,SMAD protein signal transduction,16,1181,62,11502,0.000391658,0.047343596,0.045465288,BMP6/SMAD2/ROR2/CILP/SMAD3/TGFB3/BMP7/WWTR1/BMP5/HIPK2/BMPR2/SPTBN1/NUP93/BMPR1A/SMAD5/JAK2
MF,GO:0046975,histone methyltransferase activity (H3-K36 specific),5,1187,6,11814,5.59E-05,0.01524142,0.014308388,SETD2/SETD5/NSD1/SETD3/NSD3
MF,GO:0032452,histone demethylase activity,9,1187,23,11814,0.000224187,0.022989339,0.021582004,KDM4B/JARID2/KDM4C/KDM5B/KDM6B/KDM7A/KDM2A/KDM1A/JMJD1C
