p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.64485178662027e-29	0.919043124278008	0.336	0.044	4.74062733421828e-25	Cluster 1	ENSMODG00000033459
4.01100181737103e-11	0.90724332107332	0.573	0.429	1.1560108337845e-06	Cluster 1	ENSMODG00000021275
1.59443190333194e-39	0.88858276494884	0.46	0.076	4.59531218859299e-35	Cluster 1	ENSMODG00000020597
8.98539947406695e-30	0.887683746202747	0.437	0.124	2.58968198242084e-25	Cluster 1	ENSMODG00000005633
1.01903822561125e-26	0.877181337825751	0.444	0.147	2.93697007003418e-22	Cluster 1	ENSMODG00000013852
3.78585989880278e-49	0.87332531943089	0.995	1	1.09112268143395e-44	Cluster 1	ENSMODG00000013962
1.74551356737099e-23	0.871729576728156	0.972	0.963	5.03074465251992e-19	Cluster 1	ENSMODG00000020276
2.3013713678602e-09	0.869121023343661	0.508	0.36	6.63278241930989e-05	Cluster 1	ENSMODG00000024202
6.6029470220618e-28	0.853466740305504	1	1	1.90303536122843e-23	Cluster 1	ENSMODG00000003897
1.58438812319898e-31	0.853384925897076	0.551	0.216	4.56636500987179e-27	Cluster 1	ENSMODG00000008346
1.29257882081013e-27	0.849255857951229	0.366	0.078	3.72534141945686e-23	Cluster 1	ENSMODG00000028324
1.66877594915477e-29	0.835728011092821	0.298	0.021	4.80957916305898e-25	Cluster 1	ENSMODG00000003873
1.64114652239573e-06	0.835350768956538	0.987	0.993	0.0472994839219673	Cluster 1	ENSMODG00000017712
3.3827797748992e-49	0.826953159944437	0.896	0.727	9.74950958923699e-45	Cluster 1	ENSMODG00000023219
5.50446545330142e-18	0.824667631033791	0.482	0.255	1.586441988296e-13	Cluster 1	ENSMODG00000006906
3.28649108363279e-27	0.824280287573639	0.662	0.39	9.47199595213805e-23	Cluster 1	ENSMODG00000010068
2.41623663462183e-18	0.812051479108173	0.775	0.702	6.96383560464357e-14	Cluster 1	ENSMODG00000000601
1.57084450561825e-51	0.811235892192328	0.98	0.936	4.52733094964236e-47	Cluster 1	ENSMODG00000006789
1.69970184811484e-16	0.807497612577173	0.866	0.798	4.89871069645178e-12	Cluster 1	ENSMODG00000004830
7.3061126113416e-41	0.804281568627997	0.699	0.353	2.10569471571476e-36	Cluster 1	ENSMODG00000020695
3.16229737603199e-14	0.804198710282925	0.995	0.998	9.11405726746181e-10	Cluster 1	ENSMODG00000005274
4.16233301627416e-25	0.802694924463259	0.947	0.927	1.19962599862038e-20	Cluster 1	ENSMODG00000015642
3.90954100229313e-42	0.800963095645286	0.965	0.878	1.1267688122709e-37	Cluster 1	ENSMODG00000003995
4.39794811996104e-31	0.800812329822449	0.99	0.995	1.26753262765397e-26	Cluster 1	ENSMODG00000017334
4.79504731233089e-17	0.799791738822789	0.295	0.085	1.38198058588688e-12	Cluster 1	ENSMODG00000003243
2.52820268185321e-48	0.795009175010011	1	1	7.28653294936915e-44	Cluster 1	ENSMODG00000002696
5.57839162370011e-08	0.787351974056572	0.803	0.784	0.00160774824986661	Cluster 1	ENSMODG00000005959
3.35507628414344e-29	0.784942509372124	0.389	0.083	9.6696653585298e-25	Cluster 1	ENSMODG00000031050
1.36231267297745e-37	0.780234810660585	0.568	0.195	3.9263213547883e-33	Cluster 1	ENSMODG00000010784
6.89072302573145e-60	0.779332477876419	0.997	0.998	1.98597528324606e-55	Cluster 1	ENSMODG00000017453
2.07309569701352e-25	0.773109167211218	0.348	0.076	5.97486910836266e-21	Cluster 1	ENSMODG00000000260
8.71343885033628e-65	0.767511241380233	0.977	0.773	2.51130021105542e-60	Cluster 1	ENSMODG00000032968
4.19047837769466e-12	0.767479438928404	0.98	1	1.20773777323538e-07	Cluster 1	ENSMODG00000003483
1.47992474211926e-20	0.759939942493002	0.992	0.993	4.26529109926191e-16	Cluster 1	ENSMODG00000009529
1.30941882844928e-12	0.759622916641225	0.775	0.709	3.77387600547368e-08	Cluster 1	ENSMODG00000012179
9.98364135575047e-56	0.758835882535714	0.997	0.998	2.87738527514084e-51	Cluster 1	ENSMODG00000012212
6.96455294549214e-14	0.742912710821751	0.475	0.294	2.00725380442029e-09	Cluster 1	ENSMODG00000023227
3.19367332511174e-15	0.729173545432723	0.303	0.11	9.20448589030455e-11	Cluster 1	ENSMODG00000001863
5.17248392060958e-33	0.719032620189064	0.98	0.97	1.49076159075889e-28	Cluster 1	ENSMODG00000015277
1.40047112261559e-33	0.717437997372437	1	1	4.03629782249038e-29	Cluster 1	ENSMODG00000008452
1.28009423791941e-16	0.709411008931469	0.972	0.979	3.68935960310754e-12	Cluster 1	ENSMODG00000011594
2.69160346057811e-17	0.708076888616893	0.985	0.986	7.75747033373218e-13	Cluster 1	ENSMODG00000008501
6.58557356288023e-32	0.705093579402718	0.669	0.351	1.89802815655771e-27	Cluster 1	ENSMODG00000024003
5.23793397927213e-33	0.699189234594612	0.758	0.427	1.50962495216602e-28	Cluster 1	ENSMODG00000003362
4.46371911822527e-14	0.689848789903859	0.457	0.268	1.28648848706371e-09	Cluster 1	ENSMODG00000004294
1.59645969606744e-41	0.687721308686269	0.957	0.86	4.60115649003597e-37	Cluster 1	ENSMODG00000005677
1.29660171116589e-17	0.684015426717576	0.987	0.993	3.73693579175122e-13	Cluster 1	ENSMODG00000012103
1.881273768094e-11	0.681579630428201	0.255	0.094	5.42201912702372e-07	Cluster 1	ENSMODG00000003326
7.36756466387203e-29	0.679874269223726	0.977	0.984	2.12340581177456e-24	Cluster 1	ENSMODG00000011128
1.89992234937843e-36	0.678736908987002	0.975	0.936	5.47576620314357e-32	Cluster 1	ENSMODG00000007731
1.36110980908125e-27	0.671308477673237	0.997	0.998	3.92285458075306e-23	Cluster 1	ENSMODG00000007012
1.15854755096213e-38	0.670908600739856	0.977	0.968	3.33904989662794e-34	Cluster 1	ENSMODG00000015021
5.59044330657465e-07	0.669602609460121	0.922	0.922	0.0161122166538788	Cluster 1	ENSMODG00000005960
1.50968453762786e-30	0.664225876214404	0.909	0.812	4.35106180589727e-26	Cluster 1	ENSMODG00000014198
2.93520270759446e-09	0.663054194559533	0.768	0.677	8.45954772355798e-05	Cluster 1	ENSMODG00000012679
9.93721010898873e-10	0.6517631248263	0.965	0.961	2.86400332551164e-05	Cluster 1	ENSMODG00000002788
7.9024845632621e-12	0.651693479326781	0.725	0.612	2.27757507597777e-07	Cluster 1	ENSMODG00000001905
5.54677425092231e-39	0.64659709877889	0.997	1	1.59863580685832e-34	Cluster 1	ENSMODG00000000986
1.08830315427113e-26	0.643634027188228	0.99	0.986	3.13659852092483e-22	Cluster 1	ENSMODG00000018967
1.33939811086533e-17	0.641969408293987	0.987	0.989	3.86027929532497e-13	Cluster 1	ENSMODG00000009069
9.77672288740791e-75	0.641074899451074	1	0.995	2.81774930337983e-70	Cluster 1	ENSMODG00000029994
4.10509913009435e-24	0.639646855573671	0.992	0.991	1.18313062028449e-19	Cluster 1	ENSMODG00000000652
5.56287086926254e-18	0.636774083728384	0.995	0.986	1.60327501323016e-13	Cluster 1	ENSMODG00000000956
6.01277421985022e-16	0.633253217698369	0.881	0.846	1.73294165790303e-11	Cluster 1	ENSMODG00000018255
4.7667230369304e-62	0.632220225930265	1	1	1.37381724647371e-57	Cluster 1	ENSMODG00000002955
3.08150412893387e-32	0.630230112185231	0.99	0.954	8.8812030500003e-28	Cluster 1	ENSMODG00000011056
2.81493312319443e-12	0.630159014128944	0.258	0.087	8.11291875435866e-08	Cluster 1	ENSMODG00000003333
3.99457254194689e-48	0.628638300819599	0.76	0.424	1.15127575231451e-43	Cluster 1	ENSMODG00000012395
2.50630149941127e-12	0.626693280033433	0.513	0.356	7.22341155145322e-08	Cluster 1	ENSMODG00000005993
5.54563922218214e-18	0.625388053834567	0.987	0.963	1.59830868022511e-13	Cluster 1	ENSMODG00000008431
1.64122197652778e-34	0.624835737315527	0.523	0.17	4.73016585855072e-30	Cluster 1	ENSMODG00000025643
2.35989476587274e-27	0.619387890621701	0.987	0.993	6.80145270472182e-23	Cluster 1	ENSMODG00000015984
1.89275031938404e-32	0.616257348722174	0.992	1	5.45509569549675e-28	Cluster 1	ENSMODG00000001837
5.07767611181704e-36	0.613547444292628	0.997	0.991	1.46343703218679e-31	Cluster 1	ENSMODG00000005944
4.11021095794181e-14	0.610801045293135	0.399	0.204	1.18460390018841e-09	Cluster 1	ENSMODG00000014611
4.64096991794215e-44	0.610547469937058	0.467	0.062	1.33757394005011e-39	Cluster 1	ENSMODG00000029104
7.06245128900051e-15	0.606047316273326	0.672	0.541	2.03546908600284e-10	Cluster 1	ENSMODG00000017997
3.5206031535053e-24	0.60231832629815	0.884	0.766	1.01467303487176e-19	Cluster 1	ENSMODG00000002580
1.12631621191247e-32	0.601343552378506	0.823	0.615	3.24615595435293e-28	Cluster 1	ENSMODG00000002361
1.2051943898134e-14	0.60048989586628	0.725	0.633	3.47349075088119e-10	Cluster 1	ENSMODG00000002508
3.1821230097456e-10	0.59971854083347	0.997	1	9.1711967263878e-06	Cluster 1	ENSMODG00000015186
3.89851341344018e-34	0.598041846561353	0.962	0.954	1.1235905508876e-29	Cluster 1	ENSMODG00000012795
2.03366834081129e-24	0.597068147116084	0.99	0.991	5.86123552505221e-20	Cluster 1	ENSMODG00000022960
1.03551195318301e-10	0.596867851218464	0.952	0.897	2.98444900026874e-06	Cluster 1	ENSMODG00000023192
2.84028524008381e-15	0.596618946665979	0.949	0.917	8.18598609044554e-11	Cluster 1	ENSMODG00000002258
2.36277354153748e-15	0.596470282029206	0.283	0.087	6.80974962406518e-11	Cluster 1	ENSMODG00000011283
1.3255915332145e-22	0.592114776889842	0.626	0.408	3.82048735787751e-18	Cluster 1	ENSMODG00000008403
1.92983779388821e-62	0.592035825679523	0.753	0.317	5.56198550576522e-58	Cluster 1	ENSMODG00000004407
1.6554079227834e-07	0.590682677196689	0.889	0.872	0.00477105117425403	Cluster 1	ENSMODG00000024040
7.28090738551405e-29	0.587471949516082	0.891	0.766	2.098430317579e-24	Cluster 1	ENSMODG00000007001
1.04039672795009e-08	0.586521905545372	0.846	0.814	0.000299852740962495	Cluster 1	ENSMODG00000019704
1.71507712637897e-36	0.584939409154716	1	1	4.94302378593683e-32	Cluster 1	ENSMODG00000001436
2.73027644876554e-52	0.583258454709939	0.997	1	7.86892975298717e-48	Cluster 1	ENSMODG00000000315
1.72337225165227e-15	0.582385986792392	0.987	1	4.966931166487e-11	Cluster 1	ENSMODG00000002215
1.96815660523215e-38	0.582125882504496	1	1	5.67242415193959e-34	Cluster 1	ENSMODG00000015658
6.72643881908062e-10	0.581641214976171	0.975	0.982	1.93862693204723e-05	Cluster 1	ENSMODG00000004115
1.67847759329818e-10	0.580518406395506	0.965	0.979	4.83754027164467e-06	Cluster 1	ENSMODG00000017568
4.58093898808045e-28	0.580503481238206	0.808	0.642	1.32027242575467e-23	Cluster 1	ENSMODG00000004538
2.50730163854952e-34	0.580437893317561	0.997	1	7.22629405246356e-30	Cluster 1	ENSMODG00000012949
1.23388197351474e-58	0.580029861675827	0.652	0.151	3.55617123586683e-54	Cluster 1	ENSMODG00000034211
3.48125231424981e-32	0.579608976836613	1	0.998	1.00333172948994e-27	Cluster 1	ENSMODG00000008862
2.14942837185135e-07	0.575692462266881	1	1	0.00619486751051279	Cluster 1	ENSMODG00000011682
6.71831863533231e-20	0.575240667570109	0.987	0.993	1.93628661388912e-15	Cluster 1	ENSMODG00000021319
2.15300250507231e-19	0.572979768604361	0.919	0.933	6.2051685198689e-15	Cluster 1	ENSMODG00000005502
4.85063251382078e-37	0.572170592815188	0.992	0.977	1.39800079680829e-32	Cluster 1	ENSMODG00000007283
1.74999327721538e-12	0.570092677701267	0.876	0.833	5.04365562426245e-08	Cluster 1	ENSMODG00000003856
2.00185158299547e-32	0.568995845350847	0.551	0.213	5.76953644735124e-28	Cluster 1	ENSMODG00000001950
5.53059662035496e-41	0.565775456544435	0.646	0.241	1.5939732519525e-36	Cluster 1	ENSMODG00000019773
2.6476429982322e-35	0.565529142089808	0.652	0.294	7.63077188520502e-31	Cluster 1	ENSMODG00000005480
1.36642207226615e-33	0.562175107869951	1	0.986	3.93816505447827e-29	Cluster 1	ENSMODG00000016435
1.88239939512314e-49	0.560019725022539	0.828	0.55	5.42526329668441e-45	Cluster 1	ENSMODG00000020634
3.82206921285453e-33	0.559887469761684	0.927	0.881	1.1015585678368e-28	Cluster 1	ENSMODG00000025605
5.27778054111065e-50	0.559259129295876	0.957	0.798	1.5211091297535e-45	Cluster 1	ENSMODG00000011617
2.26863439078512e-12	0.558324169824798	0.346	0.174	6.5384311776818e-08	Cluster 1	ENSMODG00000016868
4.1206001133683e-26	0.556530934837882	0.364	0.08	1.18759815867388e-21	Cluster 1	ENSMODG00000009993
1.31640946616272e-13	0.555491676172422	0.245	0.073	3.79402372242757e-09	Cluster 1	ENSMODG00000012024
5.46646461242362e-11	0.554049043838203	0.649	0.539	1.57548976594661e-06	Cluster 1	ENSMODG00000017391
1.07466044304602e-23	0.553815193118515	0.889	0.839	3.09727886290293e-19	Cluster 1	ENSMODG00000004760
1.18834789707294e-31	0.55254770499426	0.275	0	3.42493747415393e-27	Cluster 1	ENSMODG00000036209
6.12107153995492e-22	0.550716743201827	0.904	0.846	1.76415402853041e-17	Cluster 1	ENSMODG00000014670
4.5387153057693e-23	0.550107976083459	0.995	0.991	1.30810313827577e-18	Cluster 1	ENSMODG00000013487
6.43993135696971e-40	0.544058033894917	0.995	0.989	1.85605261639224e-35	Cluster 1	ENSMODG00000004368
1.29171196854175e-27	0.542812288058004	0.992	0.995	3.72284306453419e-23	Cluster 1	ENSMODG00000016601
1.12936407610597e-59	0.540713102332597	0.997	1	3.25494020374502e-55	Cluster 1	ENSMODG00000006523
8.37234667127792e-10	0.540383418767424	0.985	0.993	2.41299403412901e-05	Cluster 1	ENSMODG00000004831
5.44311159279208e-30	0.540014166637542	0.955	0.911	1.5687591921586e-25	Cluster 1	ENSMODG00000027307
3.32393167221182e-30	0.536573674469893	1	1	9.57990347248168e-26	Cluster 1	ENSMODG00000025640
9.20516825034905e-31	0.535453611617981	0.904	0.842	2.6530215414331e-26	Cluster 1	ENSMODG00000006313
4.62986612384581e-34	0.535217667985053	0.997	0.995	1.3343737155536e-29	Cluster 1	ENSMODG00000001823
1.30509565478935e-21	0.533421579270524	0.328	0.078	3.76141618666838e-17	Cluster 1	ENSMODG00000032783
4.21167624275424e-20	0.532188500206422	0.793	0.658	1.2138472099242e-15	Cluster 1	ENSMODG00000027446
9.12642199873295e-19	0.530643671379456	0.975	0.931	2.63032608425482e-14	Cluster 1	ENSMODG00000023125
1.77870238390598e-27	0.528656090896508	0.99	1	5.12639814065543e-23	Cluster 1	ENSMODG00000012495
1.04861908471132e-26	0.528653050927848	0.947	0.917	3.02222506404648e-22	Cluster 1	ENSMODG00000000382
8.38013200196402e-08	0.528027452714763	0.341	0.209	0.00241523784428605	Cluster 1	ENSMODG00000016441
4.62161886426244e-12	0.526425538967406	0.982	1	1.33199677286908e-07	Cluster 1	ENSMODG00000035809
2.93428707468801e-25	0.526319090917908	0.341	0.071	8.45690877795831e-21	Cluster 1	ENSMODG00000007237
2.1135938710245e-28	0.524260217989579	0.992	0.979	6.09158889567971e-24	Cluster 1	ENSMODG00000004291
8.86726633657091e-32	0.519856778627837	0.354	0.044	2.5556348308631e-27	Cluster 1	ENSMODG00000011104
1.27679306237676e-08	0.519513922763158	0.859	0.858	0.000367984528507605	Cluster 1	ENSMODG00000008125
7.65816629254575e-15	0.519474668463303	0.273	0.085	2.20716010717461e-10	Cluster 1	ENSMODG00000018868
7.24573423006954e-57	0.517614621859324	0.722	0.271	2.08829306244834e-52	Cluster 1	ENSMODG00000019511
3.94108321706867e-25	0.517306357813063	0.422	0.135	1.13585959399136e-20	Cluster 1	ENSMODG00000013294
4.84932029417314e-46	0.516287101954105	0.997	0.993	1.39762260198364e-41	Cluster 1	ENSMODG00000016666
1.87510192410548e-26	0.513424957863229	1	1	5.40423125546439e-22	Cluster 1	ENSMODG00000006410
3.78064743091154e-34	0.512732003373374	0.331	0.018	1.08962039606302e-29	Cluster 1	ENSMODG00000024820
4.13024744206288e-31	0.511226718584115	0.992	0.899	1.19037861527694e-26	Cluster 1	ENSMODG00000016708
8.0275728474413e-30	0.510367955263166	0.927	0.851	2.31362677036106e-25	Cluster 1	ENSMODG00000006150
2.13733561970635e-18	0.510132808087996	1	1	6.16001498955567e-14	Cluster 1	ENSMODG00000005232
1.56970275474082e-10	0.508376024131575	0.247	0.096	4.52404030943852e-06	Cluster 1	ENSMODG00000010854
8.87089955848501e-13	0.508087980011864	0.957	0.943	2.55668196175096e-08	Cluster 1	ENSMODG00000018297
6.34656653113571e-14	0.507741826560948	0.836	0.814	1.82914393993862e-09	Cluster 1	ENSMODG00000009718
6.59111439195167e-53	0.503399726047784	1	1	1.89962507890439e-48	Cluster 1	ENSMODG00000007623
4.80902800759354e-26	0.503033992272672	0.99	0.984	1.38600996206853e-21	Cluster 1	ENSMODG00000020549
1.69364770404716e-29	0.502630647759815	0.336	0.044	4.88126204783432e-25	Cluster 1	ENSMODG00000013139
8.46948815825455e-22	0.502343814134141	0.295	0.057	2.44099118209054e-17	Cluster 1	ENSMODG00000001093
3.25282351505138e-19	0.502177502580047	1	1	9.37496265272959e-15	Cluster 1	ENSMODG00000008095
1.09676973172497e-09	0.499963335237841	0.27	0.124	3.16100004380454e-05	Cluster 1	ENSMODG00000032618
2.97821673942545e-27	0.498825432023326	0.949	0.917	8.5835184646981e-23	Cluster 1	ENSMODG00000000608
1.80525868444925e-23	0.49678232925373	0.442	0.165	5.20293605445117e-19	Cluster 1	ENSMODG00000000375
1.28927758458963e-23	0.49431691319754	0.922	0.823	3.71582692654578e-19	Cluster 1	ENSMODG00000008153
6.83777160829244e-15	0.49302611202802	0.96	0.979	1.97071415522596e-10	Cluster 1	ENSMODG00000008042
1.2097584328004e-16	0.491830305086173	1	1	3.48664477917402e-12	Cluster 1	ENSMODG00000010463
8.21326537520579e-55	0.491508137756335	0.891	0.647	2.36714521378806e-50	Cluster 1	ENSMODG00000015155
8.58568869355174e-22	0.490699770592075	0.977	0.966	2.47448133836855e-17	Cluster 1	ENSMODG00000006754
6.03446052617984e-22	0.490642541757723	0.967	0.901	1.73919186825029e-17	Cluster 1	ENSMODG00000023494
4.62562024512326e-68	0.490571640809694	0.659	0.106	1.33315001084697e-63	Cluster 1	ENSMODG00000020355
9.06688265762385e-08	0.48831273983798	0.412	0.287	0.00261316625075377	Cluster 1	ENSMODG00000019476
2.04168520603469e-08	0.487976441507339	0.841	0.839	0.000588434093231257	Cluster 1	ENSMODG00000000340
2.68436921259761e-26	0.487739481852707	0.399	0.11	7.73662050762757e-22	Cluster 1	ENSMODG00000028680
1.77939114003263e-29	0.487404241856095	0.995	1	5.12838320468805e-25	Cluster 1	ENSMODG00000013889
7.00993841558771e-15	0.486226144584334	0.947	0.927	2.02033435075653e-10	Cluster 1	ENSMODG00000013312
2.87022696890622e-18	0.48577865674174	0.955	0.913	8.27228114708462e-14	Cluster 1	ENSMODG00000013395
1.69561443227274e-33	0.483487455675746	0.843	0.697	4.88693035525325e-29	Cluster 1	ENSMODG00000020313
1.93333573800008e-31	0.48327876700016	0.495	0.154	5.57206693049003e-27	Cluster 1	ENSMODG00000031755
