gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ICAM1	0	-0.281152796	0.001	0.122	0
RPL8	0	-0.650257658	0.882	0.969	0
PLEC	0	-0.433129491	0.23	0.449	0
MROH1	0	-0.788585022	0.262	0.547	0
LOC100926719	0	0.432393951	0.527	0.304	0
ARHGAP39	0	0.952499215	0.848	0.476	0
LY6H	0	-0.408726779	0.02	0.272	0
PTK2	0	0.447884865	0.972	0.932	0
COL22A1	0	1.801993332	0.649	0.01	0
LOC100931725	0	1.875388507	0.641	0.011	0
LOC116420705	0	0.406834616	0.232	0	0
LOC116420704	0	0.428820579	0.25	0.001	0
ST3GAL1	0	0.687629008	0.775	0.496	0
ASAP1	0	0.645518308	0.96	0.87	0
SQLE	0	0.548403505	0.483	0.187	0
NDUFB9	0	-0.354016336	0.138	0.338	0
FAM91A1	0	1.246957599	0.82	0.442	0
LRP12	0	0.431112091	0.759	0.567	0
UBR5	0	0.653437642	0.964	0.848	0
ZNF706	0	-0.380717891	0.241	0.472	0
YWHAZ	0	-0.733417917	0.61	0.844	0
PABPC1	0	-0.685049865	0.875	0.975	0
LOC100934493	0	-0.516932748	0.54	0.71	0
RPL30	0	-0.581728273	0.869	0.973	0
PDP1	0	-0.468288995	0.154	0.407	0
RUNX1T1	0	1.306974141	0.703	0.144	0
MMP16	0	1.337414093	0.851	0.45	0
WWP1	0	0.399640456	0.674	0.471	0
PRPF4B	0	0.418650691	0.819	0.676	0
DSP	0	-0.337801514	0.02	0.143	0
BMP6	0	1.037599208	0.53	0.128	0
EDN1	0	-0.27491843	0.006	0.14	0
PHACTR1	0	-1.048868118	0.026	0.291	0
GFOD1	0	1.472704231	0.765	0.199	0
MCUR1	0	-0.316773867	0.167	0.368	0
JARID2	0	1.234710352	0.812	0.307	0
CAP2	0	0.33407357	0.19	0.008	0
NUP153	0	0.67757867	0.77	0.511	0
KIF13A	0	0.620681585	0.871	0.673	0
DEK	0	-0.606207956	0.411	0.632	0
MBOAT1	0	-0.947458602	0.04	0.417	0
LOC116420630	0	0.901727078	0.433	0.025	0
LOC116420629	0	0.642078099	0.347	0.02	0
ACOT13	0	-0.314300625	0.032	0.221	0
PARD6G	0	-1.334370615	0.196	0.628	0
SLC66A2	0	0.576400895	0.574	0.301	0
ZNF236	0	0.403219403	0.711	0.509	0
DIPK1C	0	0.313689955	0.196	0.001	0
CCDC102B	0	0.77553532	0.2	0.008	0
KCTD1	0	2.413795126	0.958	0.272	0
ZNF521	0	1.069484355	0.977	0.689	0
CABLES1	0	-0.880410465	0.168	0.401	0
RBBP8	0	-0.492674082	0.285	0.514	0
GATA6	0	-0.277093123	0.006	0.159	0
MIB1	0	0.618552712	0.885	0.683	0
GREB1L	0	-0.385440457	0.002	0.157	0
LOC111719073	0	-0.326825005	0.001	0.135	0
ROCK1	0	-0.622899111	0.642	0.843	0
THOC1	0	0.39942538	0.685	0.486	0
COLEC12	0	-1.853104058	0.213	0.778	0
ENOSF1	0	0.282418701	0.185	0.011	0
SMCHD1	0	0.495624805	0.792	0.595	0
LOC100919651	0	-1.398569686	0.571	0.934	0
LOC100920097	0	-0.91953219	0.137	0.592	0
TGIF1	0	-0.344880577	0.172	0.375	0
DLGAP1	0	1.268692569	0.397	0.118	0
LOC111719079	0	-0.364484659	0.072	0.263	0
EPB41L3	0	-0.791673566	0.046	0.349	0
L3MBTL4	0	0.606799372	0.361	0.056	0
ARHGAP28	0	2.097495577	0.898	0.198	0
PTPRM	0	-1.035257982	0.696	0.937	0
ANKRD12	0	-0.641479373	0.339	0.629	0
RALBP1	0	-0.380897526	0.346	0.554	0
RAB31	0	0.968844664	0.821	0.46	0
PIEZO2	0	-1.71132828	0.073	0.574	0
MAPRE2	0	0.570786871	0.543	0.25	0
LOC111719032	0	0.479333337	0.469	0.207	0
CEBPD	0	-1.513577726	0.058	0.721	0
SNAI2	0	-0.456896164	0.055	0.276	0
RPS20	0	-0.905128461	0.992	1	0
CHCHD7	0	-0.52813237	0.106	0.406	0
LOC100927996	0	-0.270370043	0.051	0.197	0
SDCBP	0	0.499435608	0.711	0.492	0
TOX	0	0.97836108	0.378	0.086	0
CHD7	0	0.944304682	0.926	0.628	0
LOC100923835	0	1.428200706	0.928	0.486	0
LOC116420573	0	1.495865911	0.889	0.384	0
LOC100920521	0	-2.438076212	0.772	0.91	0
MTFR1	0	-0.501191474	0.313	0.566	0
PDE7A	0	-1.636652853	0.514	0.851	0
ARFGEF1	0	0.68582383	0.89	0.682	0
PREX2	0	1.562294298	0.57	0.008	0
SLCO5A1	0	0.513479391	0.32	0.023	0
NCOA2	0	0.552038004	0.964	0.883	0
EYA1	0	2.095351168	0.844	0.194	0
RPL7	0	-0.4627675	0.667	0.815	0
PI15	0	0.338101433	0.147	0.002	0
CRISPLD1	0	0.274480654	0.166	0.004	0
ZFHX4	0	0.694255191	0.899	0.677	0
PKIA	0	0.296116128	0.217	0.038	0
LOC116420588	0	0.297519461	0.207	0.02	0
LOC100917223	0	-0.40336756	0.072	0.311	0
LOC100925942	0	-0.983712595	0.009	0.495	0
LOC100914277	0	-1.127567674	0.003	0.47	0
LOC111719513	0	-0.360256861	0	0.206	0
LOC100929216	0	-0.478015218	0.002	0.258	0
LOC105749295	0	-0.67350844	0.068	0.414	0
SERPINB10	0	-1.375880395	0.009	0.607	0
SERPINB2	0	-2.08758879	0.001	0.544	0
KDSR	0	-0.324993906	0.123	0.329	0
BCL2	0	0.382832286	0.324	0.107	0
PHLPP1	0	0.693044652	0.876	0.648	0
ZCCHC2	0	-0.652808368	0.482	0.642	0
CDH18	0	0.449459364	0.207	0.006	0
FBXL7	0	2.082732771	0.997	0.789	0
ANKH	0	-2.368399235	0.374	0.8	0
OTULINL	0	-0.597445134	0.055	0.328	0
SEMA5A	0	1.5761999	0.753	0.103	0
NSUN2	0	0.445974695	0.49	0.251	0
ADAMTS16	0	1.300530796	0.516	0.073	0
NDUFS6	0	-0.446284726	0.121	0.384	0
SLC12A7	0	-0.977794648	0.143	0.541	0
NKD2	0	1.822704641	0.694	0.04	0
AHRR	0	-2.698502293	0.108	0.843	0
FHOD3	0	1.284042394	0.616	0.099	0
KIAA1328	0	-0.83059615	0.447	0.714	0
PIAS2	0	0.450505221	0.786	0.59	0
IER3IP1	0	-0.371211948	0.142	0.367	0
SMAD2	0	0.795119618	0.78	0.411	0
ZBTB7C	0	1.078046941	0.452	0.006	0
SMAD7	0	-0.601260233	0.247	0.525	0
LOC100918000	0	-0.782204608	0.936	0.99	0
LIPG	0	0.276366553	0.184	0.022	0
MYO5B	0	-0.265252522	0.005	0.102	0
MAPK4	0	0.38465242	0.199	0.003	0
MBD2	0	-0.601405284	0.251	0.576	0
TCF4	0	1.044508056	0.997	0.932	0
LOC100924189	0	-0.538766645	0.619	0.801	0
CCBE1	0	-3.403267769	0.069	0.815	0
PDZD2	0	1.39672984	0.906	0.588	0
ADAMTS12	0	-0.853709688	0.024	0.175	0
RPS2	0	-0.514018997	0.946	0.988	0
MAPK8IP3	0	0.405882693	0.602	0.382	0
IFT140	0	0.441790656	0.556	0.309	0
TMEM204	0	0.278354361	0.223	0.053	0
PTX4	0	0.949018239	0.515	0.002	0
CLCN7	0	0.484806942	0.381	0.118	0
CACNA1H	0	1.788287934	0.592	0.005	0
CAPN15	0	0.697934921	0.635	0.273	0
ARHGDIG	0	-0.507523682	0.037	0.35	0
LUC7L	0	0.444545049	0.711	0.505	0
ELOB	0	-0.670596968	0.206	0.538	0
TNFRSF12A	0	-0.488265181	0.008	0.3	0
SLX4	0	0.615560736	0.571	0.275	0
ADCY9	0	-0.436490166	0.297	0.514	0
VASN	0	-0.785030869	0.093	0.498	0
TNRC6A	0	0.731114642	0.945	0.792	0
RBBP6	0	0.458472926	0.83	0.668	0
SLC44A1	0	0.397683858	0.447	0.239	0
ELP1	0	0.359946786	0.399	0.181	0
NR4A3	0	-0.555941765	0.057	0.253	0
VPS13A	0	1.045293402	0.806	0.382	0
GNAQ	0	-0.387307429	0.064	0.238	0
PSAT1	0	1.01591746	0.54	0.103	0
LOC100928356	0	-0.456099994	0.485	0.697	0
FRMD3	0	-0.264860365	0.003	0.126	0
LOC100924462	0	-0.387946399	0.15	0.378	0
GOLM1	0	-0.413176425	0.138	0.386	0
LOC100918963	0	1.175994001	0.525	0.004	0
RUSC2	0	-0.763645288	0.049	0.445	0
TPM2	0	-0.541654086	0.036	0.264	0
TLN1	0	-0.792883301	0.237	0.652	0
CREB3	0	-0.465309414	0.038	0.326	0
RBFOX1	0	0.686867973	0.336	0.016	0
CBWD1	0	0.485276964	0.448	0.178	0
ROR2	0	0.70486169	0.866	0.578	0
MCC	0	0.723605536	0.786	0.45	0
DCP2	0	0.487956352	0.726	0.486	0
FAM189A2	0	0.412568438	0.224	0.009	0
TJP2	0	-0.632786401	0.205	0.531	0
IFT74	0	0.56702497	0.648	0.373	0
PTGR1	0	-0.4797737	0.003	0.145	0
PALM2AKAP2	0	-0.838216906	0.992	0.999	0
GNG10	0	-0.451214317	0.099	0.379	0
RPS15A	0	-0.53427862	0.984	0.999	0
ARL6IP1	0	-0.437381707	0.238	0.444	0
ITPRIPL2	0	-0.49112571	0.127	0.408	0
ACSM3	0	0.354178571	0.393	0.184	0
EEF2K	0	0.722018057	0.476	0.056	0
BAIAP2L1	0	0.843885441	0.554	0.176	0
TRRAP	0	0.423926035	0.759	0.57	0
FAM20C	0	2.105716362	0.918	0.159	0
PDGFA	0	-0.273135853	0.018	0.167	0
ADAP1	0	-0.312802281	0.009	0.196	0
TTYH3	0	0.862453969	0.642	0.219	0
SDK1	0	1.319547692	0.697	0.233	0
LOC100930770	0	-0.635264853	0.007	0.292	0
ACTB	0	-1.853759325	0.905	0.997	0
PDAP1	0	-0.474883495	0.448	0.646	0
USP22	0	0.566421413	0.895	0.697	0
SNCAIP	0	0.945762476	0.619	0.141	0
LOX	0	-1.218743186	0.162	0.599	0
PRR16	0	0.393908821	0.761	0.532	0
HSD17B4	0	0.36903241	0.403	0.19	0
DMXL1	0	0.453831311	0.597	0.367	0
SEMA6A	0	2.660848557	0.945	0.092	0
RAI1	0	0.70991719	0.944	0.763	0
RPS6	0	-0.45453097	0.911	0.976	0
B4GALT1	0	-0.432432757	0.296	0.507	0
UBAP2	0	0.365918056	0.88	0.76	0
ISCA1	0	-0.376412179	0.138	0.369	0
DAPK1	0	-0.562878265	0.08	0.247	0
LOC100933548	0	-0.680010704	0.051	0.402	0
PTCH1	0	0.270514383	0.211	0.043	0
FAM83G	0	-0.252304837	0.003	0.149	0
MFAP4	0	0.282507571	0.212	0.037	0
CLTA	0	-0.515586439	0.508	0.708	0
FBXO10	0	0.625150245	0.383	0.051	0
EPB41L4B	0	0.348870117	0.249	0.069	0
MLLT3	0	0.765350132	0.591	0.289	0
FOCAD	0	0.578465617	0.632	0.345	0
HINT1	0	-0.500006373	0.386	0.62	0
PAM	0	-0.88607558	0.568	0.821	0
PPIP5K2	0	0.427855124	0.68	0.464	0
EFNA5	0	2.682150469	0.957	0.257	0
PJA2	0	0.805086268	0.829	0.519	0
LMNB1	0	0.873887345	0.591	0.152	0
LOC100923760	0	0.502391431	0.325	0.029	0
ISOC1	0	0.306038342	0.258	0.076	0
ST8SIA4	0	1.154985776	0.618	0.076	0
RGMB	0	0.404730687	0.348	0.119	0
CAST	0	-1.153950867	0.241	0.761	0
RHOBTB3	0	0.78657453	0.476	0.038	0
MCTP1	0	-0.937919048	0.067	0.455	0
ARRDC3	0	0.477010884	0.402	0.13	0
MEF2C	0	1.191264725	0.637	0.091	0
LOC100915652	0	-0.446613248	0.976	0.997	0
SSBP2	0	1.005351143	0.726	0.316	0
MCCC2	0	0.46105253	0.435	0.184	0
MAP1B	0	0.919349424	0.89	0.708	0
TNPO1	0	0.675252596	0.89	0.666	0
HMGCR	0	0.589383691	0.702	0.433	0
IQGAP2	0	1.6534398	0.78	0.088	0
PDE8B	0	0.295306395	0.138	0.01	0
THBS4	0	-2.282811019	0.045	0.507	0
MAST4	0	-0.848053562	0.406	0.63	0
SREK1	0	0.648862097	0.862	0.608	0
ERBIN	0	-0.578380707	0.591	0.739	0
SGTB	0	-0.262282253	0.066	0.219	0
ADAMTS6	0	2.091832417	0.814	0.322	0
CWC27	0	0.970775027	0.853	0.536	0
SHISAL2B	0	0.388599778	0.197	0	0
LOC116423239	0	0.607528663	0.336	0.035	0
ZSWIM6	0	-0.962113325	0.539	0.829	0
PDE4D	0	1.490861402	0.861	0.617	0
MAP3K1	0	0.772585434	0.54	0.131	0
IL6ST	0	-0.530069821	0.483	0.686	0
SNX18	0	-0.516534024	0.154	0.409	0
ARL15	0	0.705985859	0.92	0.758	0
ITGA2	0	-1.643046693	0.128	0.485	0
PARP8	0	1.373506169	0.63	0.029	0
EMB	0	0.283243401	0.145	0.002	0
HCN1	0	0.344966347	0.163	0.007	0
FGF10	0	-1.398913623	0.29	0.471	0
HMGCS1	0	0.698588817	0.608	0.308	0
CARD6	0	0.26837902	0.215	0.052	0
OSMR	0	-0.267987793	0.005	0.168	0
LIFR	0	-0.408126454	0.156	0.374	0
EGFLAM	0	1.402864061	0.53	0.035	0
GDNF	0	-0.956074882	0.03	0.42	0
SLC1A3	0	1.427961918	0.765	0.247	0
TTC23L	0	-0.748020526	0.071	0.333	0
RAI14	0	-0.98063121	0.927	0.935	0
ALDOA	0	-0.513845858	0.47	0.631	0
IL4R	0	-0.991027097	0.028	0.485	0
KDM4C	0	0.446294561	0.837	0.667	0
PTPRD	0	1.613873974	0.701	0.094	0
LURAP1L	0	-0.745373851	0.062	0.342	0
NFIB	0	0.862949805	0.353	0.147	0
FREM1	0	0.356994615	0.142	0.009	0
TTC39B	0	-0.687321821	0.125	0.477	0
BNC2	0	-1.585418485	0.92	0.994	0
ZNF462	0	0.798231567	0.8	0.406	0
LOC116422575	0	0.435128156	0.262	0.001	0
FGD3	0	0.389918361	0.536	0.316	0
SMARCC1	0	0.51023903	0.933	0.802	0
SETD2	0	0.443857743	0.836	0.655	0
NBEAL2	0	-0.295002588	0.017	0.162	0
WNT9A	0	-0.739862174	0.004	0.262	0
ARF1	0	-0.575007419	0.724	0.868	0
NKTR	0	0.644814221	0.757	0.461	0
LOC100931469	0	-0.391940774	0.077	0.302	0
RHOA	0	-0.424795771	0.62	0.78	0
RBM5	0	0.56264273	0.681	0.384	0
DOCK3	0	-0.398765062	0.018	0.201	0
PRKCD	0	-0.316116198	0.075	0.26	0
RAMP3	0	0.313162764	0.162	0.002	0
IGFBP3	0	1.036600022	0.715	0.287	0
TNS3	0	0.362059894	0.854	0.615	0
GRB10	0	-1.106386182	0.802	0.907	0
COBL	0	2.866225285	0.949	0.125	0
ACVR2B	0	0.31078105	0.239	0.049	0
FAM120A	0	0.395153372	0.962	0.906	0
NUP210	0	0.77068306	0.466	0.05	0
PLXNA1	0	-0.545912917	0.282	0.577	0
TMEM43	0	-0.452447167	0.119	0.397	0
SLC6A6	0	0.603791785	0.715	0.476	0
FGD5	0	1.303080756	0.626	0.134	0
RPL32	0	-0.656091548	0.978	0.999	0
LOC100933118	0	0.433653907	0.368	0.103	0
HRH1	0	1.811845419	0.826	0.429	0
BRK1	0	-0.453567651	0.123	0.395	0
SETD5	0	0.445114954	0.827	0.661	0
LMCD1	0	0.577294818	0.72	0.397	0
BHLHE40	0	-0.422118142	0.068	0.311	0
ITPR1	0	0.628581841	0.622	0.357	0
SUCLG2	0	0.919926123	0.756	0.355	0
LOC100919969	0	-0.586155166	0.193	0.507	0
PTPRG	0	0.900211718	0.907	0.751	0
ARF4	0	-0.564082798	0.464	0.696	0
BMPER	0	1.009166012	0.427	0.023	0
BBS9	0	0.346026148	0.304	0.098	0
FKBP9	0	-0.305552671	0.024	0.227	0
IL17RD	0	1.516951167	0.755	0.067	0
WNT5A	0	-0.415120893	0	0.239	0
CACNA2D3	0	-2.13928771	0.051	0.554	0
SELENOK	0	-0.396641815	0.073	0.309	0
EPDR1	0	0.911965024	0.51	0.014	0
INHBA	0	-0.947558108	0.112	0.561	0
OGN	0	-0.809830108	0.068	0.431	0
ASPN	0	-1.278733433	0.019	0.512	0
EBF3	0	0.836848249	0.737	0.35	0
ADAM12	0	-0.836448018	0.079	0.472	0
ACTA2	0	-1.549156099	0.095	0.562	0
PRKG1	0	-4.863174543	0.117	0.75	0
DKK1	0	-0.802050054	0.019	0.295	0
BICC1	0	-1.872743944	0.281	0.868	0
ANK3	0	1.504064304	0.757	0.182	0
RHOBTB1	0	0.304348066	0.235	0.042	0
TMEM26	0	0.741012066	0.543	0.144	0
ARID5B	0	-1.339022519	0.824	0.964	0
LOC116421990	0	0.329105636	0.341	0.141	0
HK1	0	-0.537618157	0.113	0.426	0
SAR1A	0	-0.40145122	0.347	0.561	0
TSPAN3	0	-0.292078472	0.088	0.272	0
MARCHF8	0	-0.382955796	0.168	0.381	0
CRTC3	0	-0.377662194	0.185	0.394	0
IQGAP1	0	-1.01676921	0.47	0.845	0
BLOC1S2	0	-0.644380792	0.297	0.621	0
LOC100913889	0	-0.568210027	0.013	0.288	0
ARIH1	0	0.40089214	0.806	0.621	0
NEO1	0	1.107936753	0.814	0.388	0
NPTN	0	0.537922423	0.692	0.529	0
LOXL1	0	-0.48303754	0.18	0.452	0
ISLR	0	0.496468063	0.327	0.029	0
COMMD4	0	-0.316020091	0.128	0.334	0
PTPN9	0	0.496670591	0.539	0.274	0
CSPG4	0	-0.594985391	0.048	0.374	0
UNC5B	0	-0.481297812	0.177	0.433	0
MCU	0	0.509450637	0.676	0.452	0
DNAJC9	0	-0.469886276	0.242	0.474	0
USP54	0	0.478616762	0.461	0.224	0
PLAU	0	-0.795429193	0.025	0.352	0
ADK	0	1.207116329	0.914	0.64	0
KAT6B	0	0.691620238	0.786	0.571	0
KCNMA1	0	-2.389602191	0.032	0.81	0
RPS24	0	-0.551274329	0.979	0.996	0
ZMIZ1	0	-0.587650341	0.893	0.95	0
ANXA11	0	-0.525850024	0.114	0.434	0
CSGALNACT2	0	-0.447589855	0.18	0.383	0
PRXL2A	0	0.616257145	0.535	0.211	0
MXI1	0	0.6093308	0.447	0.109	0
DUSP5	0	-0.683898962	0.061	0.335	0
RBM20	0	0.769247575	0.414	0.021	0
PDCD4	0	0.457060876	0.443	0.194	0
VTI1A	0	-0.5780024	0.712	0.841	0
TCF7L2	0	1.007567946	0.856	0.646	0
FAM160B1	0	0.427622816	0.564	0.338	0
SHTN1	0	0.444730981	0.37	0.11	0
CACUL1	0	0.783790152	0.672	0.323	0
GRK5	0	-1.508606581	0.659	0.905	0
FGFR2	0	0.37482756	0.21	0.034	0
TACC2	0	-0.596843549	0.51	0.676	0
PLEKHA1	0	1.11107248	0.819	0.431	0
HTRA1	0	0.996409835	0.878	0.633	0
CHST15	0	1.5697944	0.841	0.194	0
PANK1	0	0.432457134	0.357	0.099	0
PCGF5	0	-0.476188909	0.095	0.335	0
TNKS2	0	0.46765528	0.698	0.461	0
BTAF1	0	0.463528951	0.64	0.418	0
EXOC6	0	0.570151464	0.594	0.299	0
TBC1D12	0	0.588135717	0.724	0.458	0
SORBS1	0	0.855268975	0.542	0.137	0
ALDH18A1	0	0.373454436	0.38	0.158	0
ENTPD1	0	-0.358416976	0.013	0.153	0
BLNK	0	0.607509191	0.31	0.051	0
AVPI1	0	-0.347933651	0.027	0.25	0
MARVELD1	0	-0.420765356	0.029	0.267	0
GOT1	0	-0.416318275	0.103	0.308	0
ADIRF	0	-0.531789474	0.007	0.255	0
GLUD1	0	-0.970190744	0.25	0.692	0
WDFY4	0	-0.526648489	0.003	0.221	0
ARHGAP22	0	-1.659224774	0.017	0.564	0
HOMER2	0	0.60553767	0.364	0.05	0
HDGFL3	0	-0.482576051	0.191	0.442	0
ADAMTSL3	0	0.387590246	0.541	0.285	0
IL16	0	0.766027343	0.46	0.055	0
CEMIP	0	-1.356073844	0.042	0.224	0
LOC116421870	0	-1.410468933	0.065	0.231	0
ARNT2	0	0.479875021	0.321	0.08	0
CTSH	0	-1.02107954	0.126	0.62	0
ABHD2	0	-1.25940915	0.43	0.811	0
MFGE8	0	-0.891582956	0.132	0.564	0
AKAP13	0	0.369946278	0.954	0.878	0
SLCO3A1	0	1.528010005	0.895	0.548	0
CHD2	0	0.585611498	0.974	0.9	0
MCTP2	0	1.562512196	0.584	0.008	0
ARRDC4	0	0.81160373	0.453	0.025	0
IGF1R	0	-0.970614636	0.977	0.982	0
ADAMTS17	0	0.58194287	0.298	0.013	0
ASB7	0	0.547460038	0.404	0.104	0
ALDH1A3	0	3.097717371	0.976	0.201	0
LRRK1	0	0.474419199	0.435	0.194	0
SELENOS	0	-0.349008955	0.148	0.362	0
FAM189A1	0	0.455373596	0.176	0.008	0
KLF13	0	-1.258023518	0.123	0.638	0
BNIP2	0	-0.433270652	0.207	0.471	0
ANXA2	0	-1.678187513	0.601	0.955	0
TLN2	0	0.701003205	0.913	0.643	0
TPM1	0	-1.759271871	0.617	0.93	0
RPS27L	0	-0.404431778	0.117	0.365	0
DAPK2	0	-0.576169321	0.019	0.27	0
CSNK1G1	0	0.425492459	0.923	0.814	0
ZNF609	0	0.453564259	0.945	0.83	0
PLEKHO2	0	-0.399383371	0.056	0.292	0
CILP	0	0.605819511	0.332	0	0
IGDCC4	0	0.476455882	0.301	0.002	0
RAB11A	0	-0.348071197	0.15	0.366	0
RPL4	0	-0.41970855	0.915	0.977	0
SMAD3	0	0.376374879	0.666	0.391	0
ITGA11	0	-0.900428322	0.147	0.372	0
LOC100926338	0	-0.99148871	0.983	0.999	0
LOC100926602	0	-0.400422925	0.074	0.32	0
TLE3	0	0.43793182	0.427	0.179	0
UACA	0	0.48284824	0.492	0.239	0
SLTM	0	0.608061417	0.842	0.609	0
CGNL1	0	0.716675719	0.417	0.08	0
TCF12	0	0.858105779	0.992	0.901	0
ZNF280D	0	0.516381134	0.887	0.709	0
RFX7	0	0.555123595	0.841	0.619	0
NEDD4	0	0.596530233	0.585	0.277	0
PRTG	0	1.112379054	0.595	0.046	0
ATP8B4	0	-0.472480543	0.116	0.355	0
FAM227B	0	-0.335613677	0.035	0.207	0
FGF7	0	-2.391392421	0.083	0.678	0
FBN1	0	-1.339214658	0.941	0.988	0
GPSM1	0	0.533602935	0.394	0.092	0
SEC16A	0	0.401987901	0.625	0.421	0
COL5A1	0	-1.34126214	0.972	0.992	0
VAV2	0	0.313842851	0.784	0.535	0
ADAMTSL2	0	0.306631723	0.159	0.001	0
RPL7A	0	-0.753301795	0.918	0.987	0
RALGDS	0	-0.605922948	0.076	0.406	0
TSC1	0	0.502493028	0.543	0.27	0
PRRC2B	0	0.537115658	0.904	0.739	0
PTGES	0	-0.262342394	0.022	0.155	0
PRRX2	0	-0.784422639	0.198	0.532	0
IER5L	0	-0.524211959	0.027	0.336	0
NIBAN2	0	-0.870622672	0.378	0.716	0
RPL12	0	-0.650227045	0.94	0.993	0
RGS3	0	0.442072679	0.267	0.025	0
COL27A1	0	0.410515653	0.425	0.176	0
HERPUD1	0	0.463321028	0.593	0.37	0
LOC100920426	0	-0.364507773	0.044	0.215	0
LOC105751160	0	-0.256057369	0.024	0.164	0
LOC100920166	0	-2.061932697	0.003	0.701	0
LOC105751161	0	-1.734424953	0.003	0.628	0
LPCAT2	0	0.432627442	0.253	0.03	0
MMP2	0	0.625354412	0.608	0.278	0
CHD9	0	0.546320148	0.91	0.734	0
TOX3	0	0.515911693	0.243	0.015	0
SALL1	0	-0.419679618	0.013	0.256	0
ADCY7	0	-0.573597035	0.063	0.398	0
HEATR3	0	0.354739513	0.415	0.209	0
ZNF423	0	1.682580317	0.884	0.186	0
LONP2	0	0.453618133	0.412	0.167	0
PHKB	0	1.045794196	0.801	0.42	0
LOC100934921	0	-0.370619587	0.331	0.54	0
LMX1B	0	-0.804332413	0.009	0.387	0
SCAI	0	0.77435527	0.699	0.316	0
ARPC5L	0	-0.484578846	0.191	0.454	0
RPL35	0	-0.695102748	0.863	0.974	0
DENND1A	0	-0.528109621	0.902	0.953	0
TTLL11	0	0.316238783	0.289	0.1	0
DAB2IP	0	1.368306906	0.772	0.152	0
LOC100933356	0	0.921623781	0.506	0.051	0
PHF19	0	-1.333225975	0.107	0.651	0
PAPPA	0	-2.269349179	0.174	0.745	0
BCL2L1	0	-0.518825862	0.16	0.445	0
CHD6	0	0.499002436	0.863	0.689	0
TGIF2	0	0.320736608	0.24	0.035	0
MYL9	0	-0.90845096	0.118	0.561	0
RBM39	0	0.54076066	0.779	0.55	0
EIF6	0	-0.583917264	0.283	0.551	0
DYNLRB1	0	-0.535315586	0.117	0.428	0
CNOT6	0	0.425868408	0.573	0.339	0
COL23A1	0	0.576819796	0.334	0.109	0
NSD1	0	0.648726617	0.861	0.621	0
UNC5A	0	0.416388698	0.251	0.016	0
JAKMIP2	0	1.885539481	0.682	0.02	0
SFXN1	0	0.451277538	0.534	0.315	0
STC2	0	0.334157008	0.237	0.064	0
DUSP1	0	-0.494720595	0.077	0.341	0
NEURL1B	0	-0.25840781	0.014	0.167	0
STK10	0	0.398788446	0.341	0.14	0
