BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
AHCYL1,AFMID,Aida,ACP6,AK2,AHNAK,ANGT,AZGP1,ABRAXAS2
AHCYL2,AFP,AIFM1,ACSBG1,AKR1B1,AHNAK,ANT3,B2M,ACAA1
AHNAK,Ago1,AIM1,ACSBG2,AKR7A2,AHNAK,ANXA1,BANF1,ACAA2
AHSG,AGO2,AIMP1,ACSL1,AKT2,AIFM1,ANXA2,BDH2,ACACA
AIDA,AGO4,AIMP2,ACSL3,ALAD,AIFM1,ANXA3,BLVRB,ACAD10
AIMP1,AGR2,AK1,ACSS1,ALB ,AIFM1,ANXA4,BOLA2B,ACAD11
AIMP2,AGRN,AK7,ACSS2,ALDH16A1,AIMP2,ANXA5,C13H1orf123,ACAD8
AK1,AHCY,AK9,ACSS3,ALDH1A1,AIMP2,ANXA6,C1QA,ACAD9
AK7,AHCYL1,Akap10,ACTA1,ALDH1A1 ,AIMP2,ANXA7,C1R,ACADM
AK8,AHCYL2,AKAP13,ACTA2,ALDH1A2,AK2,ANXA8,C1RL,ACADS
AK9,AHNAK,AKAP9,ACTG1,ALDH1L1,AK2,AOC3,C3,ACADSB
AKAP10,AHSG,AKR1A1,ACTG2,ALDH3B1,AK2,AOCX,C4A,ACADVL
AKAP13,AIFM1,Akt2,ACTL6A,ALDH7A1,AK9,AP2A2,C5,ACAP2
AKAP9,AIG1,AKTIP,ACTN1,ALDH9A1,AKR1A1,APEX1,C6,ACAT1
AKR1A1,AIMP2,Alad,ACTN4,ALDOA,AKR1B1,APOA1,C8A,ACAT2
AKT2,AK1,Aldh1a1,ACTR10,ALDOB,AKR1B1,APOA2,C8G,ACBD3
AKTIP,AK8,ALDH1A2,ACTR1B,ALDOC,AKR1B1,APOA4,C9,ACE
ALAD,AK9,Aldh1a3,ACTR2,ALPL,ALAD,APOE,CA1,ACIN1
ALB,AKR1A1,ALDH3B1,ACTR3,AMDHD2,ALB,APOE,CA2,ACLY
ALDH16A1,ALB,Aldh7a1,ACY1,AMPD2,ALDH18A1,APOH,CALB2,ACO1
ALDH1A1,ALCAM,ALDH9A1,ADA,ANKFY1,ALDOA,APT,CALD1,ACO2
ALDH1A2,ALDH16A1,ALDOA,ADAM10,ANKS1A,ALDOA,ARC1B,CALM1,ACOT1
ALDH1A3,ALDH18A1,ALDOC,ADD2,ANXA1,ALDOA,ARF1,CALR,ACOT13
ALDH2,ALDH1A1,ALG2,ADD3,ANXA11,ALDOC,ARF4,CAMP,ACOT7
ALDH3A2,ALDH1A2,ALPL,ADGRE5,ANXA2,ALDOC,ARK72,CAP1,ACOT9
ALDH3B1,ALDH1A3,ALS2,ADI1,ANXA2,ALDOC,ARL3,CAPS,ACOX1
ALDH7A1,ALDH1B1,AMPD3,ADIPOQ,ANXA3,ALPK2,ARP2,CAPZA2,ACOX3
ALDH9A1,ALDH1L1,AMY2B,ADK,ANXA4,ALYREF,ARP3,CAST,ACP1
ALDOA,ALDH1L2,ANAPC1,ADO,ANXA5,ALYREF,ARPC2,CAST,ACP2
ALDOB,ALDH2,ANAPC4,ADPGK,ANXA6,AMIGO3,ARPC3,CAT,ACP3
ALDOC,aldh3a1,ANAPC5,ADPRH,ANXA7,ANO5,ARPC4,CD109,ACSF2
ALPL,ALDH3A2,ANGPTL2,ADPRS,AOX1,ANP32B,ARPC5,CD44,ACSF3
ALS2,ALDH3B1,Ank2,ADRM1,AP1B1,ANXA1,ATG9A,CD5L,ACSL1
ALYREF,ALDH4A1,Ank3,ADSL,AP2A2,ANXA1,ATOX1,CDC37,ACSL3
AMY2B,ALDH5A1,ANKFY1,ADSS1,AP2B1,ANXA1,ATRN1,CFB,ACSL4
ANAPC1,ALDH6A1,ANKHD1,AEBP1,AP2S1,ANXA11,AWN,CFH,ACSL5
ANK3,ALDH7A1,ANKRD28,AFDN,APEH,ANXA11,B2L15,CFH,ACSM1
ANKFY1,ALDH9A1,ANKRD42,AFTPH,APEX1,ANXA2,B2MG,CFI,ACSS1
ANKHD1,ALDOA,ANKRD44,AGL,APIP,ANXA2,BIEA,CFL1,ACSS2
ANKRD28,ALDOB,Anks1a,AGO1,APOA1,ANXA2,BLVRB,CFL2,ACSS3
ANKRD44,ALDOC,ANO6,AGO2,APOA2 ,ANXA4,BPIB1,CHID1,ACTA2
ANKS1A,ALPL,ANXA1,AGPAT5,APOC2,ANXA4,BPNT1,CKB,ACTB
ANO6,ALS2,ANXA11,AGPS,APPL1,ANXA5,BRE1A,CLEC3B,ACTBL2
ANPEP,ALYREF,ANXA2,AGR2,APRT,ANXA5,C1TC,CLIC1,ACTL6A
ANXA1,AMOTL1,ANXA4,AGT,ARF3,ANXA5,CABIN,CLU,ACTN1
ANXA11,AMOTL2,ANXA5,AGXT2,ARF4,ANXA6,CAC1A,CMPK1,ACTN2
ANXA2,AMY2B,ANXA6,AHCY,ARFIP1,ANXA6,CAH1,CNIH4,ACTN4
ANXA3,ANO7,ANXA7,AHCYL1,ARHGAP18,ANXA6,CAH2,CNPY2,ACTR10
ANXA4,ANXA1,AP1B1,AHCYL2,ARHGDIA,ANXA7,CALM,CNPY3,ACTR1A
ANXA5,ANXA11,Ap1g1,AHNAK,ARHGDIB,ANXA7,CALR,COL14A1,ACTR1B
ANXA6,ANXA2,AP1G2,AHNAK2.1,ARL1,ANXA8L1,CAN1,COL14A1,ACTR2
ANXA7,ANXA3,AP1M1,AHSA1,ARL3,ANXA8L1,CAN2,COL1A2,ACTR3
ANXA8,ANXA4,AP1M2,AHSA2P,ARMT1,AP2B1,CAN5,CP,ACY1
AP1B1,ANXA5,AP1S1,AHSG,ARPC1B,APEX1,CAND1,CPB2,ACYP1
AP1G1,ANXA6,AP2A1,AIDA,ARPC2,APEX1,CAP1,CPN2,ACYP2
AP1G2,ANXA7,AP2A2,AIF1L,ARPC3,APEX1,CAPZB,CR2,ADA
AP1M1,AP1B1,AP2B1,AIMP1,ARPC4,APOD,CASA1,CRYGS,ADA2
AP1M2,AP1G1,AP2M1,AIMP2,ARPC5,APRT,CASK,CRYL1,ADAM10
AP1S1,ap1g2,AP2S1,AIP,ARPC5L,ARAP1,CATD,CSRP1,ADAM12
AP2A1,AP1M2,AP3B1,AK1,ARRB1,ARCN1,CAYP1,CST3,ADAM9
AP2A2,AP2A1,AP3D1,AK2,ASL,ARCN1,CAZA1,CSTB,ADAMTS1
AP2B1,AP2A2,Ap3m1,AK3,ASPSCR1,ARF4,CBP,CTBS,ADAMTSL4
AP2M1,AP2B1,APIP,AK7,ASRGL1,ARF4,CBR1,CTSC,ADAMTSL5
AP3B1,AP2M1,APMAP,AKAP10,ATAD3A,ARF4,CD109,CTSD,ADAR
AP3D1,AP2S1,APOB,AKAP12,ATIC,ARF5,CD9,CTSF,ADCY6
AP3M1,AP3S1,Appl1,AKAP13,ATP2C2,ARFGAP3,CDC37,CTSV,ADD1
AP3S1,APEX1,APPL2,AKAP9,ATP5F1A,ARHGAP1,CDC42,CTSZ,ADD2
APEX1,APLF,ARAF,AKR1A1,ATP6V1A,ARHGAP1,CE042,CUTA,ADD3
APIP,APOA1,Arcn1,AKR1D1,ATP6V1B2,ARHGAP1,CERU,DBI,ADGRA2
APOA1,APOB,Arf1,AKT1,ATP6V1D,ARHGAP36,CFAB,DDT,ADGRE5
APOB,APOE,ARF5,AKT2,ATP6V1E1,ARHGDIA,CFAD,DES,ADGRG1
APOE,APOH,Arf6,AKTIP,ATP6V1G2,ARHGDIA,CFAH,DESI2,ADH1B
APOH,APOO,ARFGEF1,ALAD,BABAM1,ARHGDIA,CFDP2,DNAH11,ADH5
APPL1,APPL1,ARFGEF2,ALCAM,BAG6,ARHGEF40,CFTR,DNASE2,ADI1
APPL2,appl2,Arfip1,ALDH16A1,BANF1,ARL17A,CH3L1,DOCK4,ADIPOQ
ARAF,AQP5,ARFIP2,ALDH18A1,BAX,ARL17A,CHM4B,DPP3,ADIRF
ARCN1,ARAP2,Arhgap1,ALDH1A2,BCL2A1,ARL17A,CHRD1,DPP4,ADK
ARF3,ARCN1,ARHGAP17,ALDH1A3,BDH2,ARL3,CI064,DPP4,ADNP
ARF4,ARF1,ARHGAP35,ALDH1L1,BIN1,ARL6IP5,CK054,DPYSL3,ADO
ARF5,ARF3,ARHGAP5,ALDH2,BLMH,ARL8B,CK070,DSP,ADPGK
ARF6,ARF4,Arhgdia,ALDH3A2,BLVRA,ARPC1B,CLH1,DSTN,ADPRH
ARFGEF1,ARF5,Arhgef1,ALDH3B1,BLVRB,ARPC2,CLIC1,DYNC2H1,ADPRHL1
ARFGEF2,ARF6,ARHGEF10L,ALDH4A1,BPNT1,ARPC2,CLIC4,EEF1A1,ADPRS
ARFIP1,ARFGEF1,ARHGEF11,ALDH5A1,BPNT1,ARPC3,CLUS,EFEMP1,ADRM1
ARFIP2,ARHGDIA,ARHGEF12,ALDH6A1,BROX,ARPC4,CMBL,EIF5A2,ADSL
ARHGAP1,ARHGEF15,ARHGEF26,ALDH7A1,BZW1,ARPC4,CNDP2,ENO1,ADSS2
ARHGAP17,ARL6IP5,ARHGEF5,ALDH9A1,C21H5orf51,ARPC4,CNOT1,EPHX2,AEBP1
ARHGAP35,ARMC4,ARHGEF7,ALDOA,C23H9orf64,ARPC5,CO1A1,ERO1A,AFAP1L2
ARHGAP5,ARPC1A,ARIH2,ALDOC,C2H1orf50,ARPC5,CO1A2,ERP29,AFDN
ARHGDIA,ARPC1B,Arl1,ALG12,C7H11orf58,ARPC5,CO3,ESD,AFG3L2
ARHGEF1,ARPC2,Arl2,ALPL,CA1,ASH1L,CO4,EZR,AFM
ARHGEF12,ARPC4,ARL3,ALYREF,CAB39,ATIC,CO5,F2,AFP
ARHGEF5,ARPC5L,ARL6,AMBP,CACYBP,ATIC,CO6,FABP3,AGA
ARHGEF7,ARRB1,ARL8B,AMDHD2,CALR,ATL3,CO7,FABP4,AGAP1
ARIH2,ASAH1,ARMC3,AMPD2,CAMK2D,ATP1A1,COF1,FABP5,AGAP3
ARL1,ASNA1,ARMC4,AMPD3,CAND1,ATP1A1,COMT,FABP7,AGFG1
ARL2,ASPM,ARMC8,ANK1.1,CAP1,ATP5F1A,COPA,FBLN1,AGFG2
ARL3,ATG7,Arpc1a,ANK3,CAPG,ATP5F1A,COPB2,FBP1,AGK
ARL6,ATL3,ARPC1B,ANKFY1,CAPN1,ATP5F1A,COPG1,FETUB,AGL
ARMC3,ATP12A,Arpc2,ANKMY2,CAPN2,ATP5F1B,COTL1,FGA,AGO1
ARMC4,ATP1A1,Arpc3,ANKRD28,CAPNS1,ATP5F1B,CP096,FGB,AGO2
ARMC8,ATP1A2,Arpc4,ANKRD40,CAPS,ATP5F1B,CPNE1,FGG,AGO3
ARPC1A,ATP1A3,Arpc5,ANKRD44,CAPZA1,ATP5F1B,CPNS1,FHL1,AGPAT1
ARPC1B,ATP1A4,Asap2,ANKS1A,CAPZA2,ATP5F1D,CRIP1,FKBP1,AGPAT2
ARPC2,ATP1B1,ASCC3,ANP32A,CAPZB,ATP5F1D,CRIP2,FKBP2,AGPAT3
ARPC3,ATP2A1,Asna1,ANP32B,CARHSP1,ATP5F1D,CRK,FKBP4,AGPAT4
ARPC4,ATP2A3,ASNS,ANP32E,CARMIL1,ATP5IF1,CRYAB,FLNA,AGPAT5
ARPC5,ATP2B1,ASPH,ANPEP,CARS1,ATP5IF1,CRYM,FN1,AGPS
ARPC5L,ATP2B2,ATG2B,ANXA10,CASP6,ATP5IF1,CSAD,FSIP2,AGR2
ARRB1,ATP2B3,ATIC,ANXA11,CAST,ATP5PB,CSN4,FTH1,AGR3
ASAP2,ATP2B4,ATL2,ANXA2,CAT,ATP5PB,CSRP1,FTL,AGRN
ASNS,ATP4A,ATL3,ANXA4,CBR3,ATP5PB,CTNA1,G6PD,AGT
ATG2B,ATP5A1,ATP11B,ANXA5,CCAR1,ATP5PO,CU129,GANAB,AGTR2
ATG7,ATP5B,Atp13a1,ANXA6.1,CCDC170,ATP5PO,CYBP,GAPDH,AGTRAP
ATIC,ATP5C1,ATP2A2,ANXA9,CCDC6,ATP5PO,CYFP1,GBE1,AHCTF1
ATP1A1,ATP5D,ATP2B1,AOX1,CCT2,ATP6V0D1,CYTB,GC,AHCY
ATP1B1,ATP5F1,ATP2B2,AP1G1,CCT3,B3GALT1,DAPK1,GDI1,AHCYL1
ATP2B1,ATP5G1,Atp2c1,AP1M1,CCT4,BAK1,DB133,GDI2,AHNAK
ATP2B2,ATP5G2,ATP5B,AP1M2,CCT5,BANF1,DC1I2,GLO1,AHNAK2
ATP2B4,ATP5G3,ATP6V0A1,AP1S2,CCT6A,BANF1,DCD,GLOD4,AHSA1
ATP6V0D1,ATP5O,ATP6V0D1,AP2A1,CCT7,BANF1,DCXR,GLRX,AHSG
ATP6V1A,ATP6V1A,Atp6v1a,AP2A2.1,CCT8,BAX,DDAH1,GOLM1,AHSP
ATP6V1B1,ATP6V1B1,ATP6V1B1,AP2B1,CD101,BAX,DDAH2,GOT1,AIDA
ATP6V1B2,ATP6V1B2,Atp6v1b2,AP2M1,CD109,BAX,DDB1,GPD1,AIF1
ATP6V1C1,ATP6V1C1,Atp6v1c1,AP2S1,CD2AP,BBX,DDX3X,GPX1,AIF1L
ATP6V1D,ATP6V1D,ATP6V1D,AP3B1,CD81,BCAT2,DESP,GSN,AIFM1
ATP6V1E1,ATP6V1H,Atp6v1e1,AP3D1,CDC37,BCAT2,DEST,GSTM2,AIMP1
ATP6V1G3,ATPIF1,atp6v1g3,AP3M1,CDC42 ,BCAT2,DHDH,GSTM3,AIMP2
ATP6V1H,AUH,ATP6V1H,AP3S1,CDK6,BCL11A,DHPR,GSTM4,AIP
ATP8B2,AURKB,Atp7a,AP4B1,CDKN2C,BLVRA,DHSA,GSTO1,AK1
BAG5,BASP1,ATP8B1,APBB1,CDV3,BLVRB,DHX9,GSTP1,AK2
BAG6,bcam,Atp8b2,APEH,CEP162,BLVRB,DJC13,GSTZ1,AK3
BAIAP2,BCAP29,Atp9b,APEX1,CETN2,BLVRB,DLRB2,H6PD,AK4
BAIAP2L1,BCAP31,Atrn,API5,CFAP20,BPNT1,DNJA1,HBA,AKAP12
BASP1,BCLAF1,B9D1,APIP,CFAP298-TCP10L,BTF3,DNPEP,HBB,AKAP13
BAX,BHMT,Bag5,APMAP,CFAP54,BTF3,DOCK9,HDGF,AKAP2
BBS1,BLMH,BAG6,APOA1,CFB,BTF3,DOPD,HEBP2,AKAP8
BBS2,BMP2K,BAIAP2L1,APOA2,CFL1,BTF3L4,DPP3,HEXA,AKAP8L
BBS4,BNC1,BASP1,APOB,CFL2,BTF3L4,DPYL2,HEXB,AKAP9
BBS5,BNC2,BAX,APOBEC2,CHMP1A,C1QBP,DPYL3,HMGB1,AKR1A1
BBS7,BPHL,BBS1,APOE,CHORDC1,C1QBP,DRG1,HNRNPAB,AKR1B1
BBS9,BPNT1,Bbs2,APOH,CIRBP,C1QBP,DUOX1,HNRNPK,AKR1C1
BCAM,BTBD16,BBS4,APOO,CKB,C1QTNF3,DX39B,HP,AKR1C3
BCR,BUB3,BBS5,APPL1,CLIC1,CA2,DYH1,HPX,AKR7A2
BDH2,C1QC,BBS7,APRT,CLIC4,CA2,DYH10,HRG,AKT1
BECN1,C5,BBS9,ARAP1,CLNS1A,CA2,DYH17,HSP90AA1,AKT2
BICD2,CA2,Bcap31,ARCN1,CLPX,CA3,DYHC1,HSP90AB1,AKT3
BIRC6,CA3H2orf70,Bcr,ARF1,CLTA,CA3,DYHC1,HSP90B1,ALAD
BLMH,CAD,Bdh2,ARF4,CLTC,CALD1,DYL2,HSPA5,ALB
BPNT1,CADM1,becn1,ARF6,CLTCL1,CALD1,ECM29,HSPA8,ALCAM
BRCC3,CALD1,Bet1,ARFGAP3,CLU ,CALD1,EF1A1,HSPB1,ALDH16A1
BROX,CALR,Bicd2,ARFGEF1,CMBL,CALM1,EF1B,HSPD1,ALDH18A1
BUB3,CALU,BIRC6,ARFGEF3,CMPK1,CALM1,EF1D,HSPE1,ALDH1A1
BZW1,CAMK2A,BLMH,ARFIP1,CNDP1,CALR,EF2,HYOU1,ALDH1A2
BZW2,CAMK2D,Bpnt1,ARFIP2,CNIH1,CALR,EFHD2,ICAM1,ALDH1A3
C1QC,CAMK2G,Brcc3,ARG1,CNN2,CALR,EIF3A,IDH1,ALDH1B1
C2CD5,CAND1,BRE,ARHGAP1,COPA,CANX,EIF3B,ighg,ALDH1L2
C3,CAND2,BROX,ARHGAP17,COPB1,CANX,EIF3C,INMT,ALDH2
C5,CANX,Btbd17,ARHGAP27,COPS2,CANX,EIF3I,ITIH1,ALDH3A2
CA2,CAP1,Bzw1,ARHGAP6,COPS3,CAP1,ENOA,ITIH2,ALDH3B1
CAB39,CAP2,BZW2,ARHGDIA,COPS4,CAP1,ENPL,ITIH3,ALDH4A1
CACYBP,CAPG,C10orf76,ARHGDIB,COPS5,CAP1,EPHA3,ITIH4,ALDH5A1
CAD,CAPN1,C12orf4,ARHGDIG,COPS6,CAPG,ERF1,ITIH4,ALDH6A1
CALCOCO1,CAPN2,C16orf62,ARHGEF1,COPS7A,CAPG,ERP29,JCHAIN,ALDH7A1
CALD1,CAPN5,C2CD5,ARHGEF10L,COPS8,CAPG,ESTD,KDELC2,ALDH9A1
CALR,CAPNS1,C3,ARHGEF12,CORO1B,CAPN2,EZRI,KLKB1,ALDOA
CALU,CAPNS2,C4B,ARHGEF17,CORO1C,CAPN2,F10A1,KNG1,ALDOC
CAMK2D,CAPRIN1,C9orf117,ARHGEF28,CP,CAPNS1,F12AI,KNG1,ALG1
CAMK2G,CAPS,CAB39,ARHGEF7,CPA4,CAPNS1,F16P1,LAP3,ALG11
CAND1,CAPSL,Cacna2d1,ARIH1,CPNE3,CAPNS1,FAAA,LCN2,ALG12
CAND2,CAPZA1,CACYBP,ARIH2,CPPED1,CAPRIN1,FABP5,LDHB,ALG14
CANX,CAPZB,CAD,ARL2,CRABP1,CAPRIN1,FABPH,LGALS1,ALG2
CAP1,CARMIL1,CADPS2,ARL6IP5,CRIP2,CAPZA1,FAS,LGALS3,ALG3
CAP2,CARS,CALCOCO1,ARL8A,CRK,CAPZA1,FBLN1,LGALS3BP,ALG5
CAPG,CASK,calm1a,ARL8B,CRPPA,CAPZA1,FCGBP,LGMN,ALG6
CAPN1,CASP10,CALML5,ARMC1,CRYL1,CAPZB,FCGBP,LHPP,ALG8
CAPN2,CAST,Calr,ARMC3,CRYM,CAPZB,FETUA,LLGL2,ALOX5
CAPN5,CAT,Camk2d,ARMC3.1,CRYZ,CAPZB,FHL1,LOXL2,ALOX5AP
CAPN7,CAV1,Camk2g,ARMC4,CSE1L,CAV1,FIBA,LRRC51,ALPL
CAPNS1,CAV3,CAND1,ARMC6,CSRP1,CAV1,FIBB,LRRN4,ALYREF
CAPRIN1,cbr3,Canx,ARMC8,CTH,CAV1,FIBG,LTF,AMBP
CAPS,CBR4,CAPG,ARMC9,CTNNA1,CAVIN1,FINC,LUM,AMDHD2
CAPSL,CC1H1orf158,CAPN2,ARPC1A,CTPS2,CAVIN1,FKB1A,LZTFL1,AMOT
CAPZA1,CC2H21orf33,Capn7,ARPC1B,CTTN,CAVIN1,FKBP3,MAN1A1,AMOTL1
CAPZA2,CCAR1,CAPNS1,ARPC2,CUL1,CBR3,FKBP4,MANF,AMPD2
CAPZB,CCAR2,Caprin1,ARPC3,CUL3,CCDC186,FLNA,MAP4,ANAPC1
CARM1,CCDC113,CAPSL,ARPC4,CUL4B,CCDC187,FLNB,MAP4,ANAPC2
CARMIL1,CCDC114,Capza1,ARPC5,CUL5,CCDC187,FPPS,MCM3AP,ANAPC4
CASK,CCDC13,CAPZA2,ARPC5L,CUTA,CCDC88A,FRIH,MDH1,ANAPC5
CAST,CCDC170,Capzb,ARPIN,CYCS ,CCT2,FRIL,MIF,ANGPT2
CAT,CCDC173,Carm1,ARRB1.2,CYFIP1,CCT2,FUBP2,MMRN2,ANGPTL2
CAV1,CCDC181,Casc4,ARRB2,CYP26A1,CCT2,G3P,MPST,ANGPTL6
CBR3,ccdc187,Cask,ARSB,CYP2U1,CCT3,G6PD,MSN,ANK1
CC2D1B,CCDC22,CASP14,ASCC3,CYRIB,CCT3,G6PI,MTPN,ANK2
CCAR2,CCDC39,Cat,ASH2L,CZIB,CCT3,GALK1,MYH11,ANK3
CCDC186,CCDC40,CAV1,ASMTL,DARS1,CCT4,GALM,MYH6,ANKFY1
CCDC22,CCDC6,CC2D1B,ASNS,DBI,CCT4,GALNS,MYL9,ANKHD1
CCDC6,CCDC88C,CC2D2A,ASPSCR1,DBNL,CCT4,GBB1,MYLK,ANKMY2
CCDC91,CCDC91,CCDC13,ASRGL1,DCPS,CCT5,GBLP,MYO5C,ANKRD13A
CCDC93,CCDC93,Ccdc132,ATAD3A,DCTN1,CCT5,GCN1L,MYO7A,ANKRD17
CCM2,CCT2,CCDC173,ATE1,DCTN2,CCT5,GDIA,NANS,ANKRD35
CCNY,CCT3,CCDC180,ATG2A,DCUN1D1,CCT6A,GDIB,NEDD8,ANKRD39
CCT2,CCT4,CCDC186,ATG3,DCXR,CCT6A,GDIR1,NENF,ANKRD44
CCT3,CCT5,Ccdc22,ATG4B,DDAH1,CCT6A,GDIR2,NGF,ANKRD49
CCT4,CCT6A,Ccdc47,ATG5,DDAH2,CCT7,GELS,NIT1,ANKS1A
CCT5,CCT6B,Ccdc6,ATG7,DDB1,CCT8,GFPT1,NME2,ANO10
CCT6A,CCT7,CCDC91,ATIC,DDT,CCT8,GLOD4,NPC2,ANO6
CCT6B,CCT8,Ccdc93,ATL2,DDX1,CCT8,GMPPB,NPY,ANP32A
CCT7,CD109,CCM2,ATL3,DDX17,CD44,GMPR1,NRXN1,ANP32B
CCT8,CD177,CCNY,ATOX1,DDX39B,CD44,GMPR2,NSFL1C,ANP32E
CD109,CD2AP,CCT3,ATP1A1,DDX3X,CD63,GNAI2,NUCKS1,ANPEP
CD2AP,CD55,CCT4,ATP1B1,DENR,CDC37,GP157,NUDC,ANTXR1
CD55,CD59,CCT5,ATP1B3,DERA,CDC37,GPX1,OGN,ANTXR2
CD5L,CD5L,CCT6A,ATP2A2,DGKA,CDC37,GRP78,OLFML3,ANXA1
CD9,CD63,CCT7,ATP2B1,DHDH,CDC42,GSH1,ORM1,ANXA10
CDC16,CD9,CCT8,ATP5F1A,DHRS11,CDC42,GSHR,OVGP1,ANXA11
CDC37,CDC42,CD109,ATP5F1B,DIABLO,CDC42,GSTA1,PAFAH1B2,ANXA13
CDC42,CDH1,CD2AP,ATP5F1C,DIAPH1,CDIPT,GSTM1,PAFAH1B3,ANXA2
CDC42BPA,CDK5RAP3,Cdc16,ATP5F1D,DISC1,CELSR3,GSTM5,PAICS,ANXA3
CDC42BPB,CE3H16orf89,CDC23,ATP5MF,DLGAP4,CELSR3,GSTO1,PARK7,ANXA4
CDC42BPG,CEACAM1,CDC37,ATP5MG,DNAH5,CFL1,GSTP1,PCP4,ANXA5
CDH1,CECR2,Cdc42,ATP5PB,DNAH9,CFL1,H13,PDCD5,ANXA6
