ONTOLOGY,ID,Description,Count,GeneList,Bg,BgList,pvalue,p.adjust,qvalue,geneID
BP,GO:0045229,external encapsulating structure organization,14,139,237,11502,1.01E-06,0.000224245,0.000199174,EGFL6/ANTXR1/GAS2/PXDN/POSTN/SMOC2/COL3A1/FLRT2/ADAMTS17/GPM6B/ADAMTSL3/COL23A1/COL8A1/MMP16
BP,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,19,139,485,11502,5.67E-06,0.00115273,0.001023853,EFNA5/IGFBP3/SMOC2/GFRA1/EPHA7/ROBO1/PDGFD/SEMA6A/PLCB1/FLRT2/JAK2/WASF1/BAIAP2L1/SESN3/CHN1/GHR/EPHA5/EPHA4/FLT1
BP,GO:0060560,developmental growth involved in morphogenesis,11,139,193,11502,2.15E-05,0.004039243,0.003587649,SEMA3E/MAP2/POSTN/DCLK1/ALCAM/EPHA7/SEMA6A/SLIT2/WASF1/KDM5B/SEMA3D
BP,GO:0048589,developmental growth,18,139,490,11502,2.43E-05,0.004088171,0.003631107,GAS2/SEMA3E/MAP2/POSTN/DCLK1/ALCAM/EPHA7/BMPR1B/SEMA6A/PLCB1/SLIT2/MEIS1/WASF1/KDM5B/PTN/SEMA3D/GHR/STK3
BP,GO:0045663,positive regulation of myoblast differentiation,4,139,15,11502,2.51E-05,0.004088171,0.003631107,IGFBP3/PLCB1/BOC/CDON
BP,GO:0050770,regulation of axonogenesis,9,139,130,11502,2.71E-05,0.004129498,0.003667814,SEMA3E/MAP2/EPHA7/ROBO1/SEMA6A/SLIT2/CHN1/SEMA3D/EPHA4
BP,GO:0048846,axon extension involved in axon guidance,5,139,32,11502,3.71E-05,0.004819487,0.004280661,SEMA3E/ALCAM/SEMA6A/SLIT2/SEMA3D
BP,GO:1902284,neuron projection extension involved in neuron projection guidance,5,139,32,11502,3.71E-05,0.004819487,0.004280661,SEMA3E/ALCAM/SEMA6A/SLIT2/SEMA3D
BP,GO:0030900,forebrain development,13,139,283,11502,3.75E-05,0.004819487,0.004280661,NFIB/TOX/DCLK1/COL3A1/ROBO1/SLC8A1/ALDH1A3/FAT4/PLCB1/SLIT2/PTN/SATB2/EPHA5
BP,GO:0010810,regulation of cell-substrate adhesion,10,139,171,11502,4.15E-05,0.004996653,0.004438019,EFNA5/EGFL6/ARHGAP6/SEMA3E/POSTN/JAK2/GPM6B/COL8A1/PTN/PRKCE
BP,GO:0031290,retinal ganglion cell axon guidance,4,139,17,11502,4.30E-05,0.004996653,0.004438019,ALCAM/EPHA7/BMPR1B/SLIT2
BP,GO:0040013,negative regulation of locomotion,12,139,249,11502,4.76E-05,0.005274835,0.0046851,IGFBP3/SEMA3E/COL3A1/MEOX2/ROBO1/SEMA6A/PLCB1/SLIT2/DPYSL3/PTN/SEMA3D/EPHA4
BP,GO:1990138,neuron projection extension,9,139,142,11502,5.44E-05,0.005766801,0.005122064,SEMA3E/MAP2/POSTN/DCLK1/ALCAM/SEMA6A/SLIT2/WASF1/SEMA3D
BP,GO:0048640,negative regulation of developmental growth,7,139,84,11502,6.75E-05,0.006799733,0.006039512,SEMA3E/MAP2/EPHA7/SEMA6A/MEIS1/SEMA3D/STK3
BP,GO:0021953,central nervous system neuron differentiation,8,139,114,11502,6.97E-05,0.006799733,0.006039512,NFIB/MAP2/TOX/DCLK1/SLIT2/RORA/SATB2/EPHA4
BP,GO:0048588,developmental cell growth,10,139,184,11502,7.70E-05,0.007222805,0.006415283,SEMA3E/MAP2/POSTN/DCLK1/ALCAM/EPHA7/SEMA6A/SLIT2/WASF1/SEMA3D
BP,GO:0045445,myoblast differentiation,6,139,62,11502,9.86E-05,0.008904907,0.007909324,IGFBP3/PLCB1/TCF7L2/DDX17/BOC/CDON
BP,GO:0021952,central nervous system projection neuron axonogenesis,4,139,21,11502,0.000104198,0.009076365,0.008061612,NFIB/DCLK1/SLIT2/EPHA4
BP,GO:0050922,negative regulation of chemotaxis,5,139,41,11502,0.000126674,0.0106537,0.009462599,SEMA3E/ROBO1/SEMA6A/SLIT2/SEMA3D
BP,GO:0048013,ephrin receptor signaling pathway,5,139,42,11502,0.000142406,0.011577621,0.010283224,EFNA5/EPHA7/CHN1/EPHA5/EPHA4
